#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
9378  3.28367  3.61144  3.86475  4.31716  4.82393  5.26892  5.75918  6.33873  6.68715  7.34177  7.94328  8.43643  9.34032  9.90559  10.6886  11.3157  11.7155  12.2405  12.5915  13.3414  14.0281  0.221042  0.23448  0.242954  0.268114  0.296443  0.322073  0.350791  0.385402  0.405861  0.445592  0.481236  0.510198  0.564861  0.599045  0.647559  0.686778  0.712318  0.744237  0.768315  0.815517  0.860542  -1.0
9382  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  1.9777  1.97898  2.15396  2.40769  2.84369  3.03556  3.40942  3.4885  3.48082  3.54945  3.85763  4.00165  4.35954  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  0.145584  0.146323  0.157156  0.172532  0.1976  0.211591  0.237651  0.249224  0.250942  0.259359  0.28439  0.300656  0.361625  -99.0  -1.0
9438  0.0931108  0.070945  0.0569114  0.041549  0.0689414  0.0892314  0.0857276  0.101018  0.0504104  0.0857751  0.0695921  0.0641507  0.0675896  0.0590634  0.0544802  0.126695  0.0595772  0.179805  0.0984556  0.119311  0.140256  0.0366667  0.032028  0.029363  0.0292862  0.0289753  0.0280279  0.0263316  0.0267508  0.025883  0.026728  0.0481384  0.029316  0.0375582  0.0578364  0.0385724  0.041666  0.0440247  0.0512063  0.0538118  0.0600938  0.0707192  -1.0
9564  0.126777  0.0901072  0.0946067  0.0847305  0.125315  -99.0  -99.0  -99.0  0.114267  0.119058  0.0921215  0.0602063  0.0553909  0.0720047  0.0605005  0.0782709  0.124888  0.145399  0.133095  0.055228  0.177271  0.0336957  0.0291346  0.0416315  0.0250042  0.0258783  -99.0  -99.0  -99.0  0.0413754  0.0439117  0.030366  0.0248595  0.0277185  0.0298875  0.0332971  0.0366016  0.0390109  0.0442022  0.0506493  0.0930925  0.0669602  -1.0
9646  1.30196  1.30317  1.35058  1.4243  1.43694  1.51481  1.53278  1.63591  1.77878  1.77305  1.69621  1.6302  1.6822  1.65486  1.68966  1.69511  1.72663  1.71113  1.77664  1.71411  1.61213  0.0914593  0.0889973  0.0901819  0.093094  0.0936086  0.0976944  0.0986868  0.104084  0.112401  0.112616  0.109025  0.105667  0.109403  0.109781  0.113924  0.116316  0.120166  0.123174  0.131362  0.132881  0.136177  -1.0
9680  0.315588  0.217972  0.255059  0.307016  0.293413  0.296456  0.251676  0.236091  0.237641  0.2807  0.300774  0.303472  0.28395  0.307467  0.378095  0.448456  0.410014  0.345877  0.295611  0.370886  0.436235  0.0462229  0.0374869  0.0359174  0.0376006  0.0342781  0.0350198  0.0318888  0.0313495  0.0316327  0.03325  0.0349748  0.0366064  0.0384135  0.0418954  0.0495487  0.0561889  0.0580498  0.0630516  0.0661168  0.0788054  0.0896594  -1.0
9777  0.0912013  0.0685802  0.0918759  0.0955961  0.113533  0.0822924  0.114921  0.149886  0.140346  0.109426  0.0828861  0.159338  0.138217  0.16059  0.125084  0.221207  0.147557  0.184094  0.0622815  0.124452  0.159809  0.0957133  0.0912656  0.085997  0.0397524  0.0389522  0.0404031  0.0422859  0.0464124  0.0397253  0.0428776  0.0419365  0.0445644  0.0503024  0.0510871  0.0572701  0.0664077  0.0735196  0.0829691  0.15183  0.101868  0.191347  -1.0
9803  0.175002  0.211368  0.295746  0.274764  0.226256  0.276161  0.241235  0.397374  0.405435  0.201076  0.22989  0.226173  0.203142  0.183857  0.135344  0.466443  0.183367  0.316869  0.266318  0.349849  0.438369  0.0875546  0.0844293  0.0819773  0.0749382  0.075981  0.0747795  0.0731012  0.080119  0.08082  0.0775238  0.0802215  0.0817974  0.0884  0.0959974  0.104891  0.133243  0.131378  0.145458  0.155563  0.171385  0.202566  -1.0
9860  0.245992  0.316666  0.172188  0.260497  0.282254  0.368535  0.375977  0.29142  0.268287  0.314197  0.271245  0.296537  0.348948  0.305972  0.305125  0.303696  0.406294  0.410394  0.401569  0.488293  0.44369  0.0647407  0.0540134  0.0624227  0.046667  0.0462131  0.0448148  0.0455972  0.04243  0.0464315  0.0437676  0.0556016  0.0532845  0.0548976  0.0535846  0.0626792  0.0732339  0.0808148  0.0879574  0.200646  0.143249  0.17482  -1.0
9871  0.257537  0.176506  0.16302  0.244951  0.167865  0.271444  0.221473  0.193998  0.276465  0.315936  0.206823  0.341664  0.324938  0.378828  0.285101  0.21133  0.22313  0.127773  0.0654214  0.0572375  0.0705473  0.112881  0.0956661  0.0922329  0.0884027  0.0866268  0.0851435  0.0867826  0.101861  0.096234  0.095189  0.103318  0.107207  0.108979  0.117058  0.121279  0.122158  0.146737  0.174367  0.295905  0.233491  0.36347  -1.0
9976  0.245584  0.198865  0.17157  0.159309  0.193677  0.243376  0.225528  0.235917  0.228603  0.247993  0.286365  0.317249  0.2733  0.230271  0.279025  0.270596  0.239266  0.270372  0.235896  0.162764  0.226861  0.0514347  0.0458388  0.0420061  0.0392117  0.0371359  0.0378395  0.0417493  0.0387033  0.0387195  0.0383958  0.0351958  0.0378549  0.040949  0.0402772  0.0475324  0.0505035  0.0556709  0.0712158  0.0766314  0.0768198  0.0889431  -1.0
10042  0.125638  0.181117  0.183046  0.19872  0.220923  0.130424  0.152968  0.178041  0.176701  0.202862  0.193945  0.201836  0.209777  0.318683  0.180933  0.107201  0.311486  0.241901  0.178814  0.173157  0.61893  0.047948  0.0377952  0.0362898  0.0389875  0.0377066  0.036407  0.0349605  0.0349882  0.0383319  0.033655  0.0487478  0.0370567  0.0469647  0.0564335  0.103114  0.0856296  0.0939835  0.0772165  0.0818126  0.0979682  0.185874  -1.0
10075  0.0879591  0.174068  0.202488  0.181636  0.149334  0.16518  0.155825  0.185405  0.233905  0.216033  0.237925  0.19425  0.239839  0.260735  0.303248  0.332475  0.20893  0.235007  0.338876  0.238232  0.30886  0.0688749  0.0513302  0.0504991  0.0356158  0.0318114  0.0312773  0.0314008  0.0325705  0.0334972  0.0332364  0.034822  0.0350944  0.0391904  0.042888  0.0480372  0.060392  0.0560076  0.0634571  0.0765662  0.0714153  0.10922  -1.0
10088  0.0270046  0.0207893  0.02069  0.0046864  0.0104318  0.00554827  0.0122067  0.0167032  0.0146906  0.0117014  0.026955  0.0118151  0.0359485  0.0212637  0.0285337  0.0416601  0.012428  0.0108074  0.00961169  0.0348691  0.0130894  0.0154926  0.0087804  0.00796343  0.00744148  0.00728159  0.00705767  0.00699376  0.00688958  0.00711695  0.00764313  0.00758575  0.00781105  0.0153117  0.00919776  0.0100933  0.0114799  0.0119903  0.0130236  0.0240941  0.0161808  0.0217992  -1.0
10107  0.149569  0.169059  0.15151  0.214407  0.246401  0.195523  0.185473  0.262156  0.213973  0.248221  0.301911  0.220212  0.247127  0.372322  0.482794  0.35377  0.0982021  0.169809  0.145788  0.371604  0.397961  0.0506014  0.063069  0.0429015  0.0435317  0.0408245  0.0402708  0.0364286  0.0638146  0.0401213  0.0398594  0.0473337  0.0424627  0.0452378  0.0513794  0.0586041  0.0961021  0.119981  0.112833  0.0920123  0.228159  0.157536  -1.0
10113  0.0573959  0.0186106  0.0354128  0.0446438  0.0575759  0.0438812  0.0750448  0.0552486  0.0258037  0.0494765  0.0464474  0.0598415  0.0788357  0.0433312  0.0301495  0.0436837  0.119784  0.0927769  0.122574  0.148936  0.0605734  0.0224153  0.0207255  0.0187093  0.018012  0.0179973  0.0162655  0.0182105  0.0175457  0.0203985  0.0296633  0.0185026  0.0195046  0.0213131  0.0226575  0.041121  0.0270535  0.0305887  0.0315893  0.0377292  0.0408468  0.0450897  -1.0
10231  -99.0  0.107865  0.13762  0.0818242  0.109426  0.117533  -99.0  0.114204  0.118839  0.177223  0.136559  0.145439  0.174662  0.113731  0.096365  0.0811707  0.168919  0.17426  0.12652  0.171664  0.134264  -99.0  0.0457793  0.0346353  0.0504875  0.0301296  0.0367006  -99.0  0.0301184  0.0304249  0.0337692  0.0353321  0.0352135  0.0374154  0.0413295  0.0427087  0.0467529  0.0516642  0.0617739  0.0678595  0.0768268  0.14407  -1.0
