# pearsid field imag netsig specz specz_source specz_qual
97904 GOODS-N 21.6850 484.00 0.681 Barger_K Z
82986 GOODS-N 22.1120 337.00 0.936 Barger_ACS Z
105709 GOODS-N 23.3070 147.00 1.082 Barger_UV Z
79939 GOODS-N 23.2920 45.30 0.768 Barger_K Z
121439 GOODS-N 22.6420 650.00 0.888 Barger_K Z
79587 GOODS-N 22.2600 189.00 0.857 Wirth_2004 4
117385 GOODS-N 23.9540 143.00 1.224 Barger_ACS Z
114275 GOODS-N 23.4810 223.00 1.027 Barger_ACS Z
100198 GOODS-N 23.5280 90.90 0.942 Barger_UV Z
103094 GOODS-N 22.6080 206.00 0.972 Barger_UV Z
112486 GOODS-N 23.6620 174.00 0.835 Barger_K Z
95449 GOODS-N 23.2370 109.00 0.935 MOSDEF 4
98420 GOODS-N 23.8480 127.00 1.200 Barger_K Z
92316 GOODS-N 23.9930 51.00 0.942 Barger_K Z
124459 GOODS-N 23.5900 128.00 1.020 Barger_ACS Z
81269 GOODS-N 23.3470 99.70 0.842 Barger_ACS Z
93569 GOODS-N 23.6240 57.10 0.858 Barger_UV Z
118642 GOODS-N 22.4810 271.00 0.836 Barger_K Z
89845 GOODS-N 21.7560 304.00 0.840 Barger_ACS Z
113696 GOODS-N 23.6310 159.00 0.747 Barger_K Z
121302 GOODS-N 22.1600 343.00 0.778 Barger_ACS Z
92450 GOODS-N 24.1940 37.20 1.001 Barger_ACS Z
80987 GOODS-N 23.7060 52.60 0.772 Barger_K Z
85237 GOODS-N 23.5380 51.10 1.141 Barger_ACS Z
93239 GOODS-N 22.7460 154.00 0.841 Barger_24m Z
126432 GOODS-N 23.1970 84.60 0.870 Barger_ACS Z
119723 GOODS-N 22.8250 309.00 0.804 Barger_K Z
127919 GOODS-N 23.8080 48.90 1.225 Barger_ACS Z
98342 GOODS-N 23.6870 151.00 1.223 Barger_ACS Z
122757 GOODS-N 23.3360 130.00 0.785 Barger_ACS Z
127420 GOODS-N 22.6350 271.00 1.083 Barger_ACS Z
92108 GOODS-N 23.7180 95.00 1.183 Barger_K Z
119879 GOODS-N 22.4970 294.00 1.010 Barger_ACS Z
119616 GOODS-N 23.9370 77.00 1.010 Barger_K Z
98997 GOODS-N 23.1200 191.00 1.011 Barger_K Z
128375 GOODS-N 22.7820 290.00 0.862 Barger_UV Z
121232 GOODS-N 23.3670 133.00 0.855 Barger_K Z
125086 GOODS-N 23.0000 263.00 1.148 Barger_K Z
125832 GOODS-N 23.7620 82.10 1.141 Barger_ACS Z
93853 GOODS-N 23.6200 13.40 0.709 Barger_ACS Z
91764 GOODS-N 22.5760 43.10 0.858 Barger_K Z
117847 GOODS-N 23.6840 84.70 0.836 Barger_K Z
123476 GOODS-N 21.0050 663.00 0.634 Wirth_2004 4
122616 GOODS-N 23.2950 86.30 1.153 Barger_K Z
