# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
91800 GOODS-N 189.226211 62.281970 0.9419 Barger_K Z 271.82 1.66 0.07
85199 GOODS-N 189.228570 62.265922 0.6060 Wirth_2015 1 206.23 1.36 0.09
58084 GOODS-N 189.229795 62.217689 0.9546 Barger_ACS Z 133.67 1.77 0.12
97070 GOODS-N 189.230811 62.288324 0.9414 Barger_K Z 127.94 1.41 0.10
57792 GOODS-N 189.231038 62.219798 0.9546 Barger_ACS Z 296.22 1.69 0.07
65022 GOODS-N 189.231330 62.231529 1.1450 Barger_UV Z 163.89 1.26 0.08
52460 GOODS-N 189.231522 62.212656 0.7910 Barger_UV Z 315.63 1.37 0.05
81513 GOODS-N 189.232790 62.259489 0.8495 Barger_K Z 94.80 1.44 0.13
50799 GOODS-N 189.236018 62.205595 0.9542 Barger_ACS Z 219.24 1.65 0.07
55935 GOODS-N 189.236342 62.214606 1.2310 Barger_K Z 80.20 1.48 0.18
77927 GOODS-N 189.237947 62.253144 0.8490 Barger_K Z 143.19 1.33 0.08
84001 GOODS-N 189.238818 62.266877 0.9403 Barger_K Z 81.43 1.41 0.15
47814 GOODS-N 189.239500 62.202938 0.6700 Wirth_2015 1 683.35 1.61 0.06
44286 GOODS-N 189.239528 62.193104 1.0133 Barger_K Z 151.54 1.17 0.07
95017 GOODS-N 189.239635 62.285011 0.8360 Barger_ACS Z 116.74 6.52 2.32
74987 GOODS-N 189.240780 62.248600 0.8490 Barger_K Z 293.54 1.36 0.05
44746 GOODS-N 189.242031 62.193817 0.6805 Barger_UV Z 193.01 1.11 0.06
90536 GOODS-N 189.242061 62.277510 1.0173 Barger_ACS Z 278.02 1.78 0.07
103139 GOODS-N 189.244737 62.299235 0.9418 Barger_K Z 222.05 1.45 0.07
70787 GOODS-N 189.245169 62.243034 0.6780 Wirth_2015 4 778.78 1.38 0.04
105095 GOODS-N 189.245545 62.302763 0.9431 Barger_K Z 150.85 1.18 0.07
47561 GOODS-N 189.245803 62.202469 0.8520 Barger_K Z 339.30 1.44 0.05
99452 GOODS-N 189.249503 62.293273 0.6605 Barger_K Z 541.65 1.21 0.04
89573 GOODS-N 189.249618 62.274447 1.0120 Barger_K Z 136.31 1.76 0.12
85920 GOODS-N 189.250233 62.268303 1.0140 Barger_K Z 274.63 1.31 0.05
86439 GOODS-N 189.251790 62.268030 0.9410 Barger_ACS Z 79.98 1.41 0.14
98131 GOODS-N 189.254233 62.291574 0.7095 Barger_K Z 739.18 1.68 0.05
71893 GOODS-N 189.254997 62.241894 0.8392 Barger_UV Z 75.06 1.18 0.12
107010 GOODS-N 189.255209 62.306395 0.9418 Barger_K Z 270.77 1.13 0.05
41945 GOODS-N 189.256444 62.191325 0.7780 Barger_24m Z 487.92 1.25 0.05
46765 GOODS-N 189.257967 62.197271 1.0202 Barger_ACS Z 92.69 1.14 0.10
77103 GOODS-N 189.258085 62.252898 0.9378 Barger_UV Z 265.21 1.30 0.05
78354 GOODS-N 189.258733 62.254839 0.7445 Barger_K Z 120.91 1.26 0.09
105455 GOODS-N 189.260316 62.305642 0.7669 Wirth_2004 4 258.67 1.36 0.06
101785 GOODS-N 189.260380 62.297084 1.0176 Barger_K Z 275.89 1.18 0.05
48397 GOODS-N 189.260927 62.204579 1.2257 Barger_K Z 117.41 1.49 0.12
93907 GOODS-N 189.261660 62.282144 1.0190 Barger_ACS Z 297.39 1.41 0.06
92570 GOODS-N 189.263825 62.279586 0.7439 Barger_UV Z 335.65 1.15 0.04
102886 GOODS-N 189.267768 62.300502 0.6389 Barger_ACS Z 125.11 1.39 0.18
89655 GOODS-N 189.271113 62.274348 1.1205 Barger_K Z 141.73 1.11 0.08
109851 GOODS-N 189.271150 62.312059 0.8747 Barger_ACS Z 141.76 1.28 0.08
112339 GOODS-N 189.273057 62.314237 0.8555 Barger_ACS Z 132.44 1.19 0.10
112002 GOODS-N 189.273162 62.313660 0.8569 Barger_K Z 166.12 1.45 0.09
106613 GOODS-N 189.274167 62.304796 0.8551 Barger_UV Z 122.25 1.14 0.07
105048 GOODS-N 189.277166 62.305090 0.8558 Barger_ACS Z 235.86 1.58 0.07
99579 GOODS-N 189.277841 62.293851 1.1436 Wirth_2004 4 188.40 1.16 0.07
88929 GOODS-N 189.279212 62.274477 0.9427 Barger_ACS Z 197.35 1.78 0.10
86854 GOODS-N 189.282229 62.271106 0.9400 Barger_ACS Z 398.34 1.50 0.05
