# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
56798 GOODS-N 189.167121 62.218223 -99.0000 -99.0 - 1112.59 20.66
91148 GOODS-N 189.167207 62.276870 -99.0000 -99.0 - 134.89 23.38
45958 GOODS-N 189.167239 62.196253 -99.0000 -99.0 - 98.34 23.76
93602 GOODS-N 189.167298 62.282149 -99.0000 -99.0 - 471.82 22.18
54158 GOODS-N 189.167582 62.211958 -99.0000 -99.0 - 1049.04 21.25
62017 GOODS-N 189.167945 62.225306 -99.0000 -99.0 - 355.35 22.43
91947 GOODS-N 189.168573 62.278265 -99.0000 -99.0 - 120.13 23.95
61540 GOODS-N 189.168667 62.223074 -99.0000 -99.0 - 114.52 23.92
67746 GOODS-N 189.168823 62.234323 1.4856 Barger_ACS Z 99.88 23.97
28029 GOODS-N 189.168829 62.167595 -99.0000 -99.0 - 111.46 22.32
43991 GOODS-N 189.169432 62.193226 -99.0000 -99.0 - 85.84 23.81
90082 GOODS-N 189.169913 62.274503 0.7816 3D_HST A 189.64 23.37
39728 GOODS-N 189.170018 62.185821 0.7654 Barger_K Z 124.88 23.43
36944 GOODS-N 189.170378 62.181871 -99.0000 -99.0 - 280.71 22.49
76778 GOODS-N 189.170511 62.251326 -99.0000 -99.0 - 134.31 23.18
76018 GOODS-N 189.170906 62.250253 -99.0000 -99.0 - 450.47 22.40
59375 GOODS-N 189.171367 62.220700 1.0162 Wirth_2004 4 211.11 22.83
41388 GOODS-N 189.171411 62.190279 -99.0000 -99.0 - 147.07 23.32
69420 GOODS-N 189.171528 62.239196 0.5180 Barger_UV Z 526.32 21.52
88566 GOODS-N 189.172075 62.271681 -99.0000 -99.0 - 202.17 23.19
44997 GOODS-N 189.172206 62.194684 0.5850 Wirth_2015 4 231.86 22.71
83831 GOODS-N 189.172279 62.263253 -99.0000 -99.0 - 286.64 22.93
36639 GOODS-N 189.172688 62.180919 0.9367 Barger_ACS Z 160.27 22.82
64469 GOODS-N 189.172778 62.234115 -99.0000 -99.0 - 903.63 20.89
50439 GOODS-N 189.172884 62.204168 -99.0000 -99.0 - 167.33 23.68
24439 GOODS-N 189.173179 62.163394 -99.0000 -99.0 - 192.48 20.36
41339 GOODS-N 189.173462 62.192173 0.0892 Barger_K Z 1626.69 19.77
61504 GOODS-N 189.173676 62.223466 0.4851 Barger_K Z 221.43 23.17
57082 GOODS-N 189.173695 62.216184 1.6464 Barger_ACS Z 128.27 23.66
97754 GOODS-N 189.173700 62.291479 0.4857 Barger_UV Z 250.72 22.20
28392 GOODS-N 189.174307 62.166594 -99.0000 -99.0 - 96.19 23.83
94262 GOODS-N 189.174482 62.282598 -99.0000 -99.0 - 165.17 23.58
74641 GOODS-N 189.174731 62.249069 -99.0000 -99.0 - 176.49 22.97
47700 GOODS-N 189.174800 62.201503 -99.0000 -99.0 - 822.35 21.03
59383 GOODS-N 189.175490 62.219488 -99.0000 -99.0 - 166.91 23.70
81749 GOODS-N 189.175851 62.262638 0.8575 Barger_24m Z 514.03 21.39
85078 GOODS-N 189.175946 62.266371 -99.0000 -99.0 - 142.09 23.36
71198 GOODS-N 189.176221 62.241568 -99.0000 -99.0 - 110.54 23.77
88858 GOODS-N 189.176557 62.272816 -99.0000 -99.0 - 133.03 23.28
55392 GOODS-N 189.176715 62.214535 1.2402 Barger_K Z 121.54 23.42
92535 GOODS-N 189.176764 62.279170 -99.0000 -99.0 - 234.15 22.85
83129 GOODS-N 189.177039 62.261902 -99.0000 -99.0 - 331.16 22.73
78010 GOODS-N 189.177296 62.255157 0.5330 Wirth_2015 4 341.20 21.96
42014 GOODS-N 189.177334 62.189407 -99.0000 -99.0 - 186.01 22.88
57168 GOODS-N 189.178046 62.218634 -99.0000 -99.0 - 417.49 22.23
76405 GOODS-N 189.178046 62.250802 0.6973 Barger_K Z 119.74 23.11
69115 GOODS-N 189.178517 62.236751 0.5852 Barger_K Z 140.57 23.43
48937 GOODS-N 189.178849 62.204545 0.4540 Barger_24m Z 980.73 20.75
33235 GOODS-N 189.179317 62.175093 -99.0000 -99.0 - 371.69 21.97
89993 GOODS-N 189.179370 62.275523 -99.0000 -99.0 - 248.84 22.37
39466 GOODS-N 189.179531 62.185719 -99.0000 -99.0 - 166.29 22.97
64523 GOODS-N 189.179820 62.229866 1.2453 Barger_K Z 141.39 23.45
53471 GOODS-N 189.179822 62.211731 -99.0000 -99.0 - 485.24 21.81
87585 GOODS-N 189.179891 62.273634 -99.0000 -99.0 - 564.01 21.21
45026 GOODS-N 189.179994 62.196666 1.0074 Wirth_2004 3 228.58 22.58
62376 GOODS-N 189.180433 62.225739 0.9040 Barger_K Z 116.69 23.41
92378 GOODS-N 189.180581 62.281280 -99.0000 -99.0 - 288.62 22.06
92233 GOODS-N 189.180716 62.278367 -99.0000 -99.0 - 79.24 24.00
46546 GOODS-N 189.180909 62.197659 1.2389 Wirth_2004 3 240.50 23.06
79928 GOODS-N 189.181350 62.258988 -99.0000 -99.0 - 213.68 22.64
76917 GOODS-N 189.181488 62.251585 0.8480 Barger_K Z 150.28 23.02
50422 GOODS-N 189.181790 62.205071 0.7507 Barger_K Z 230.07 22.69
65109 GOODS-N 189.182283 62.232455 0.2013 Barger_UV Z 832.77 20.91
43618 GOODS-N 189.182566 62.195238 -99.0000 -99.0 - 795.94 20.90
