# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_south_idv41 figs_ra figs_dec threed_ra threed_dec
100592 33883 53.113323 -27.755028 53.113320 -27.755036
100593 33854 53.128322 -27.755144 53.128327 -27.755151
100594 33812 53.196617 -27.755024 53.196622 -27.755022
100595 33851 53.115631 -27.755180 53.115617 -27.755190
100596 33836 53.185425 -27.755073 53.185440 -27.755057
100597 33847 53.157863 -27.755205 53.157863 -27.755204
100598 33821 53.131599 -27.755150 53.131604 -27.755152
100599 33795 53.184387 -27.755112 53.184388 -27.755109
100600 33859 53.117958 -27.755211 53.117965 -27.755219
100601 33850 53.187958 -27.755186 53.187961 -27.755189
100602 33635 53.204525 -27.755346 53.204535 -27.755344
100603 33805 53.137626 -27.755186 53.137619 -27.755191
100605 33103 53.124389 -27.755724 53.124387 -27.755719
100606 33792 53.163490 -27.755192 53.163500 -27.755186
100607 33846 53.128589 -27.755224 53.128589 -27.755228
100608 33781 53.146862 -27.755226 53.146863 -27.755227
100609 33835 53.119232 -27.755268 53.119234 -27.755275
100610 33841 53.118931 -27.755358 53.118962 -27.755373
100611 33703 53.185467 -27.755461 53.185467 -27.755461
100612 33789 53.151985 -27.755316 53.151995 -27.755320
100613 33824 53.118378 -27.755333 53.118377 -27.755337
