# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
96023 GOODS-S 53.168375 -27.760592 0.9410 0.9410 0.0242 CANDELS 1.1732 0.1645 1.1693 0.0879 130.8573 130.8573
96481 GOODS-S 53.125270 -27.759500 0.6000 0.5584 0.0070 CANDELS 1.1347 0.0956 2.4693 0.1699 152.9179 86.0079
97498 GOODS-S 53.151680 -27.761279 0.8870 0.9001 0.0097 CANDELS 0.8897 0.0737 1.0277 0.0444 285.2345 253.6057
97568 GOODS-S 53.125254 -27.756535 1.0820 1.0281 0.0157 CANDELS 1.2549 0.0896 1.1168 0.0425 768.3305 667.9893
98048 GOODS-S 53.109547 -27.760050 1.1750 1.2080 0.0098 CANDELS 1.4289 0.1448 1.6761 0.0795 186.6116 130.1104
98333 GOODS-S 53.126439 -27.756544 1.1880 1.3740 0.0906 CANDELS 1.2444 0.2045 0.3806 0.0844 155.0690 129.1728
98384 GOODS-S 53.130091 -27.759084 0.9760 1.1431 0.0176 CANDELS 1.6528 0.3349 1.9319 0.1884 181.5576 77.5363
98698 GOODS-S 53.111936 -27.757828 0.8580 0.8097 0.0195 CANDELS 1.1909 0.0920 1.3570 0.0519 329.9522 296.4963
99014 GOODS-S 53.105246 -27.756648 0.6450 0.6022 0.0084 CANDELS 1.2033 0.0783 1.2246 0.0369 298.8081 128.1925
100020 GOODS-S 53.124398 -27.755748 0.9340 0.9212 0.0078 CANDELS 1.0054 0.1323 1.6911 0.1024 84.0568 80.2221
101405 GOODS-S 53.104753 -27.753344 0.7080 0.7166 0.0065 CANDELS 1.2894 0.1502 1.5166 0.0809 74.7597 73.7371
102153 GOODS-S 53.123770 -27.751992 0.7150 0.6178 0.0287 CANDELS 0.9348 0.0862 1.1983 0.0594 502.7868 120.4125
102693 GOODS-S 53.086339 -27.748277 0.9000 0.8749 0.0150 CANDELS 1.2222 0.1084 1.3272 0.0606 122.6295 105.8070
103037 GOODS-S 53.159407 -27.748641 0.6460 0.6460 0.0027 CANDELS 1.4156 0.1383 1.7751 0.0890 84.9669 84.9669
103116 GOODS-S 53.105623 -27.750783 0.9720 0.9207 0.0079 CANDELS 1.0263 0.0767 1.0729 0.0404 522.7571 401.3375
103918 GOODS-S 53.133505 -27.747705 0.8570 0.8570 0.0085 CANDELS 1.3856 0.0976 1.7078 0.0579 146.0401 146.0401
104292 GOODS-S 53.161611 -27.746921 0.7030 0.7030 0.0069 CANDELS 1.3239 0.1878 1.6177 0.1171 94.5031 94.5031
104774 GOODS-S 53.086105 -27.746234 0.6410 0.6775 0.0075 CANDELS 1.3315 0.1386 1.8151 0.0868 311.0379 197.0519
105016 GOODS-S 53.097315 -27.746653 0.7240 0.7255 0.0208 CANDELS 1.1735 0.2570 1.2541 0.1382 111.6709 109.8504
105980 GOODS-S 53.145346 -27.744600 0.6620 0.6672 0.0114 CANDELS 1.6732 0.2675 1.6733 0.1382 72.0710 69.8455
