# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
30107 GOODS-S 53.133932 -27.886666 0.9140 0.9142 0.0107 3DHST 0.8263 0.0927 1.2643 0.0680 123.8725 114.1521
30286 GOODS-S 53.195926 -27.885478 0.6798 0.6256 0.0104 3DHST 1.1873 0.1766 1.5255 0.1096 117.9652 81.9553
30676 GOODS-S 53.164456 -27.883471 0.6766 0.6655 0.0205 3DHST 1.2916 0.0994 1.3695 0.0485 250.4175 246.8199
30763 GOODS-S 53.165467 -27.885331 0.6932 0.5773 0.0407 3DHST 1.3681 0.2525 1.9076 0.2244 308.2340 119.8821
30887 GOODS-S 53.179241 -27.884619 0.9127 0.7819 0.0570 3DHST 1.0772 0.1598 1.1808 0.0985 294.0405 134.2080
31086 GOODS-S 53.178130 -27.884897 0.8474 0.6692 0.0226 3DHST 1.3589 0.2718 1.3052 0.1345 254.3989 156.2174
31325 GOODS-S 53.185805 -27.882850 0.6663 0.6230 0.0145 3DHST 1.1981 0.1346 1.1822 0.0615 160.9193 95.4560
31861 GOODS-S 53.172679 -27.882669 0.6757 0.6010 0.0181 3DHST 0.8887 0.1200 1.1080 0.0779 167.5566 102.4818
31899 GOODS-S 53.139820 -27.880603 1.1610 1.1466 0.0183 3DHST 1.2142 0.0925 1.3417 0.0574 212.6012 208.1301
32173 GOODS-S 53.174370 -27.881627 1.0976 1.0430 0.0269 3DHST 1.2193 0.3351 1.3296 0.1884 102.3543 83.9832
32674 GOODS-S 53.152949 -27.877295 0.6250 0.5931 0.0057 3DHST 1.1733 0.0831 1.3422 0.0467 122.7509 86.4136
32885 GOODS-S 53.185907 -27.880391 0.6154 0.5941 0.0105 3DHST 1.2574 0.2869 1.4176 0.1634 83.1838 80.5523
33294 GOODS-S 53.158667 -27.880188 1.0280 0.9626 0.0063 3DHST 1.0754 0.1136 1.1130 0.0606 354.3508 171.2013
33734 GOODS-S 53.161077 -27.878505 0.7859 0.8081 0.0155 3DHST 1.0531 0.2370 1.5331 0.1729 78.4940 76.1437
33949 GOODS-S 53.170333 -27.879079 0.8790 0.6976 0.0689 3DHST 1.0991 0.2659 1.1680 0.1525 165.1895 100.0460
34128 GOODS-S 53.158957 -27.877881 0.7288 0.5906 0.0163 3DHST 1.1207 0.1486 1.4243 0.0870 371.7877 120.0735
34208 GOODS-S 53.191189 -27.872941 0.9994 0.9994 0.0115 3DHST 1.1347 0.0922 1.2998 0.0516 212.6189 212.6189
34243 GOODS-S 53.193241 -27.878513 0.7117 0.5465 0.0422 3DHST 2.8817 2.0215 4.9095 3.3544 126.1369 91.0130
34457 GOODS-S 53.146597 -27.876704 0.7884 0.7971 0.0109 3DHST 1.1790 0.1003 1.2865 0.0617 194.3482 188.3878
34803 GOODS-S 53.183195 -27.876363 0.6458 0.6135 0.0141 3DHST 1.1450 0.1226 1.2891 0.0677 218.7589 154.9705
34821 GOODS-S 53.165209 -27.873947 1.0445 1.0176 0.0108 3DHST 1.1238 0.1120 1.2162 0.0615 265.7820 241.4079
35134 GOODS-S 53.156450 -27.876430 1.0680 1.0543 0.0290 3DHST 1.3272 0.3887 1.3502 0.1998 97.9075 97.1071
35475 GOODS-S 53.194943 -27.874946 1.2302 1.2325 0.0259 3DHST 1.3864 0.2473 1.1785 0.1179 167.9805 167.3168
35579 GOODS-S 53.186398 -27.874972 0.9675 0.8560 0.0315 3DHST 1.0355 0.1690 1.1374 0.0972 189.6797 124.6632
35765 GOODS-S 53.163142 -27.873062 0.8528 0.8047 0.0086 3DHST 1.4186 0.1243 1.3660 0.0568 258.3943 211.5746
36001 GOODS-S 53.167022 -27.874898 0.9253 0.8048 0.0123 3DHST 1.5289 0.3379 1.4861 0.1570 209.8182 106.0472
36110 GOODS-S 53.172427 -27.873753 0.6231 0.5912 0.0088 3DHST 1.2138 0.1832 1.6365 0.1364 101.0339 72.2066
36121 GOODS-S 53.173438 -27.865976 0.7809 0.7809 0.0057 3DHST 1.7426 0.1302 1.5644 0.0594 150.2997 150.2997
36308 GOODS-S 53.156394 -27.873004 0.7596 0.7933 0.0181 3DHST 1.3620 0.1987 1.3089 0.0920 159.2615 149.6987
36550 GOODS-S 53.185447 -27.872944 0.7060 0.7060 0.0122 3DHST 0.8804 0.1401 1.0174 0.0819 102.0835 102.0835
36664 GOODS-S 53.183290 -27.872860 0.7110 0.5841 0.0688 3DHST 1.6188 0.4974 1.7677 0.2929 150.4279 100.9645
36896 GOODS-S 53.191299 -27.872109 1.0051 0.9403 0.0167 3DHST 1.1794 0.2100 1.3116 0.1161 134.5096 97.2606
36925 GOODS-S 53.173317 -27.872817 0.6490 0.5556 0.0406 3DHST 1.4509 0.5665 2.9537 1.0297 106.1602 90.2137
37417 GOODS-S 53.196471 -27.871720 0.9083 0.6447 0.0529 3DHST 1.5376 0.5992 1.6493 0.3214 165.7688 90.8350
37429 GOODS-S 53.150887 -27.868331 0.7789 0.7670 0.0056 3DHST 1.3856 0.1060 1.5918 0.0684 129.5507 114.1990
37846 GOODS-S 53.174020 -27.871186 1.0850 1.1967 0.0509 3DHST 1.3707 0.5978 1.4867 0.3033 84.6484 66.6915
38350 GOODS-S 53.153101 -27.868566 0.7807 0.6798 0.0258 3DHST 1.4935 0.1358 1.2473 0.0571 530.3619 170.5217
38417 GOODS-S 53.186973 -27.869061 0.7926 0.7807 0.0213 3DHST 1.3425 0.2200 1.2139 0.0973 143.5891 142.0921
38577 GOODS-S 53.187607 -27.868807 0.7987 0.7634 0.0213 3DHST 1.3242 0.2191 1.5663 0.1469 144.1309 126.1595
38854 GOODS-S 53.178108 -27.868082 0.6618 0.6185 0.0098 3DHST 1.4784 0.1764 1.5280 0.0989 138.1709 104.8669
39116 GOODS-S 53.166565 -27.867970 0.6443 0.6015 0.0384 3DHST 0.9738 0.1535 1.1928 0.0997 122.4880 109.5045
39503 GOODS-S 53.173913 -27.865049 0.8533 0.9346 0.0261 3DHST 1.1778 0.1457 1.3883 0.0763 140.1556 102.9881
39835 GOODS-S 53.178034 -27.866458 1.1266 1.1266 0.0124 3DHST 1.2339 0.1757 1.4065 0.1018 146.1779 146.1779
40117 GOODS-S 53.181796 -27.866849 0.6988 0.6333 0.1744 3DHST 1.2141 0.2849 1.1707 0.1164 250.4624 231.2911
40163 GOODS-S 53.179131 -27.866557 0.9051 0.7971 0.1019 3DHST 0.9676 0.2349 1.2364 0.1189 259.8871 192.7454
40295 GOODS-S 53.164027 -27.865856 0.6643 0.4947 0.0883 3DHST nan nan nan nan 111.6253 82.6917
40488 GOODS-S 53.168321 -27.865487 0.6729 0.5982 0.0114 3DHST 1.4592 0.1699 1.3299 0.0839 280.2635 125.3066
41075 GOODS-S 53.169286 -27.865057 0.7108 0.3944 0.1857 3DHST nan nan nan nan 188.5032 95.3862
41478 GOODS-S 53.196579 -27.863206 1.1302 1.1161 0.0090 3DHST 1.2533 0.1188 1.4146 0.0757 86.4765 80.5254
42022 GOODS-S 53.193867 -27.863361 0.7082 0.6638 0.3060 3DHST 1.2710 0.3703 1.4878 0.1801 1131.5368 1063.4646
42277 GOODS-S 53.175667 -27.862315 0.8972 0.8847 0.0140 3DHST 1.3596 0.2079 1.5252 0.1192 80.8360 77.0553
42395 GOODS-S 53.170504 -27.862103 0.9073 0.7337 0.0446 3DHST 1.1409 0.2958 1.3390 0.1630 119.0579 100.7793
42703 GOODS-S 53.136388 -27.850696 0.7301 0.7406 0.0052 3DHST 1.7865 0.1318 1.7996 0.0638 151.0052 144.7563
42894 GOODS-S 53.178791 -27.859692 0.8522 0.9340 0.0711 3DHST 1.0955 0.2009 1.2983 0.1320 78.5074 73.0916
43404 GOODS-S 53.207779 -27.858065 0.7758 0.6543 0.0235 3DHST 0.9831 0.1044 1.4193 0.0746 356.2700 102.7039
43478 GOODS-S 53.190104 -27.859178 0.8430 0.8308 0.0096 3DHST 1.1509 0.1165 1.2044 0.0527 122.3168 117.1678
43698 GOODS-S 53.185314 -27.859001 0.7677 0.7677 0.0290 3DHST 0.9285 0.3274 1.2926 0.2198 78.5646 78.5646
43816 GOODS-S 53.137828 -27.856631 0.7566 0.7449 0.0138 3DHST 1.0078 0.1670 1.4673 0.1179 86.0290 83.6389
43997 GOODS-S 53.161866 -27.858128 0.6444 0.6567 0.0049 3DHST 1.1955 0.2369 1.5029 0.1570 84.3665 78.7719
44047 GOODS-S 53.153420 -27.858637 1.2312 1.1453 0.0214 3DHST 1.2161 0.2354 1.1294 0.1294 134.9679 94.2410
44163 GOODS-S 53.153382 -27.857359 0.6746 0.6101 0.0129 3DHST 0.9531 0.1712 1.2186 0.1132 101.7045 78.8785
44843 GOODS-S 53.187919 -27.857914 0.9466 1.3901 0.0121 3DHST 1.5280 0.5856 1.7815 0.3258 345.4583 109.9027
45314 GOODS-S 53.165789 -27.856155 0.6819 0.7367 0.0383 3DHST 1.3484 0.1821 1.1735 0.0861 184.8422 173.7555
45410 GOODS-S 53.195148 -27.855885 1.0798 1.0386 0.0352 3DHST 0.9482 0.1912 1.1656 0.1314 112.8228 89.6863
45462 GOODS-S 53.176780 -27.855401 0.8458 0.7748 0.0095 3DHST 1.0481 0.1390 1.1485 0.0673 418.8060 285.1678
45502 GOODS-S 53.167266 -27.856362 0.6927 0.6703 0.0162 3DHST 1.4811 0.2167 1.3100 0.1056 133.2988 108.3490
45804 GOODS-S 53.137200 -27.855682 0.6681 0.5349 0.0027 3DHST 2.1249 2.1607 4.8231 4.6182 1264.1631 1262.3128
45879 GOODS-S 53.158459 -27.854919 0.6122 0.8514 0.0059 3DHST 2.0655 0.2267 3.2904 0.1774 3370.9886 672.9260
45919 GOODS-S 53.186093 -27.855339 1.1122 1.0308 0.0180 3DHST 1.2631 0.2621 1.3306 0.1429 112.7884 79.9012
46037 GOODS-S 53.188363 -27.853537 1.2326 1.1466 0.0187 3DHST 1.0876 0.2035 1.3591 0.1410 143.3362 102.0187
46562 GOODS-S 53.164226 -27.853497 0.6617 0.5196 0.0620 3DHST nan nan nan nan 337.2924 129.0075
46603 GOODS-S 53.137145 -27.852164 0.7356 0.7438 0.0087 3DHST 1.1827 0.1766 1.7123 0.1350 102.3631 99.1730
47029 GOODS-S 53.204932 -27.851305 0.7913 0.5264 0.0708 3DHST 5.0492 7.0785 10.2775 14.2793 197.5118 103.9913
47038 GOODS-S 53.133894 -27.851542 0.6683 0.6573 0.0178 3DHST 1.2158 0.2004 1.2544 0.1009 87.9504 87.2843
47101 GOODS-S 53.206310 -27.851605 0.7809 0.5994 0.1077 3DHST 1.5128 0.1441 1.2118 0.0586 831.9330 145.7914
