# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
111842 38832 53.044578 -27.729709 53.044579 -27.729710
130561 46545 53.044804 -27.692678 53.044804 -27.692678
118534 42037 53.044835 -27.709606 53.044827 -27.709618
126958 45228 53.044897 -27.696014 53.044895 -27.696005
119585 41593 53.044972 -27.716055 53.044971 -27.716057
120229 42043 53.045148 -27.714340 53.045143 -27.714352
127997 45327 53.045332 -27.698436 53.045326 -27.698437
123533 43436 53.045448 -27.707823 53.045429 -27.707808
111741 37812 53.045461 -27.728629 53.045456 -27.728628
111366 38165 53.045475 -27.732853 53.045479 -27.732864
108947 37058 53.045478 -27.737480 53.045467 -27.737490
117358 40850 53.045590 -27.719439 53.045593 -27.719439
114657 39807 53.045639 -27.724930 53.045635 -27.724930
114672 39474 53.045683 -27.725818 53.045677 -27.725826
111146 37929 53.045857 -27.733675 53.045872 -27.733673
115024 39689 53.046166 -27.725094 53.046177 -27.725094
109414 37171 53.046320 -27.737540 53.046322 -27.737541
113091 39038 53.046703 -27.728694 53.046711 -27.728701
126827 44710 53.046761 -27.701447 53.046761 -27.701448
126014 44246 53.046810 -27.703298 53.046814 -27.703306
123952 43429 53.046830 -27.707248 53.046829 -27.707254
113539 39092 53.046856 -27.727868 53.046844 -27.727894
109499 37207 53.046880 -27.737583 53.046886 -27.737585
130264 46801 53.046931 -27.690835 53.046925 -27.690838
121138 42729 53.046940 -27.711190 53.046936 -27.711191
117632 42201 53.047138 -27.709112 53.047131 -27.709053
125340 44005 53.047213 -27.704188 53.047215 -27.704178
130087 46369 53.047267 -27.693332 53.047264 -27.693323
114604 39656 53.047315 -27.725593 53.047317 -27.725594
108319 36779 53.047325 -27.740168 53.047340 -27.740162
125788 44618 53.047333 -27.702469 53.047329 -27.702463
128801 45660 53.047350 -27.696743 53.047352 -27.696745
127293 45394 53.047408 -27.698413 53.047398 -27.698385
126415 44683 53.047412 -27.701823 53.047413 -27.701826
122177 42519 53.047479 -27.711471 53.047474 -27.711470
130759 46653 53.047494 -27.692016 53.047493 -27.692019
130788 46625 53.047507 -27.692666 53.047497 -27.692663
121218 42315 53.047521 -27.713009 53.047516 -27.712997
112979 38818 53.047536 -27.729167 53.047531 -27.729172
114207 39326 53.047812 -27.726682 53.047821 -27.726686
128379 45580 53.047820 -27.697181 53.047836 -27.697174
108372 36834 53.047836 -27.739397 53.047840 -27.739384
108553 36864 53.047853 -27.739823 53.047852 -27.739826
129668 46058 53.047911 -27.695129 53.047905 -27.695135
117364 40862 53.048015 -27.719743 53.048019 -27.719744
125751 44124 53.048066 -27.703771 53.048050 -27.703779
128699 45840 53.048088 -27.696323 53.048088 -27.696318
122490 43292 53.048101 -27.708695 53.048084 -27.708710
116765 40762 53.048108 -27.720195 53.048115 -27.720192
131732 47145 53.048185 -27.690458 53.048183 -27.690418
122399 43023 53.048392 -27.709527 53.048401 -27.709526
110829 37776 53.048419 -27.734444 53.048431 -27.734444
116775 40331 53.048543 -27.721856 53.048542 -27.721863
112960 38767 53.048553 -27.729464 53.048553 -27.729458
114227 39292 53.048595 -27.726669 53.048565 -27.726690
118516 41076 53.048740 -27.718459 53.048752 -27.718443
128775 45577 53.048810 -27.697114 53.048809 -27.697109
119887 41734 53.048919 -27.715530 53.048927 -27.715549
108268 36787 53.048964 -27.740004 53.048962 -27.740017
131172 46857 53.049096 -27.691305 53.049122 -27.691288
131699 47092 53.049145 -27.690433 53.049149 -27.690432
112891 38721 53.049223 -27.729421 53.049252 -27.729420
110795 38398 53.049251 -27.732011 53.049252 -27.732012
