# ID  Field  RA  DEC  zspec  zphot  low_zphot_err  high_zphot_err  zg  low_zgrism_err  high_zgrism_err  zspz  low_zspz_err  high_zspz_err  NetSig  D4000  D4000_err  iABmag
89212     GOODS-S    53.1285126    -27.772701    1.018    0.97    0.00    0.00    1.00    0.00    0.01    0.96    0.01    0.00    454.38    1.55    0.05    22.26
85256     GOODS-S    53.1288245    -27.780420    1.173    1.23    0.20    0.12    1.11    0.24    0.12    1.21    0.17    0.12    90.82     1.44    0.16    23.95
117865    GOODS-S    53.1300388    -27.719551    1.022    1.01    0.05    0.02    0.99    0.61    0.50    0.99    0.03    0.03    81.77     1.35    0.15    24.73
72524     GOODS-S    53.1303304    -27.805615    1.173    1.06    0.03    0.01    1.10    0.04    0.01    1.07    0.01    0.03    111.31    1.38    0.12    23.73
17495     GOODS-S    53.1303655    -27.913615    0.661    0.85    0.07    0.04    1.42    1.05    0.03    0.87    0.09    0.01    74.49     1.11    0.17    24.06
115775    GOODS-S    53.1304757    -27.723096    1.097    1.02    0.02    0.01    1.06    0.11    0.01    1.06    0.06    0.01    97.59     1.27    0.12    23.71
78177     GOODS-S    53.1306425    -27.790259    0.665    0.70    0.02    0.01    0.46    0.01    0.04    0.70    0.04    0.01    782.25    1.25    0.04    21.23
25390     GOODS-S    53.1307081    -27.888658    1.000    1.11    0.03    0.02    1.24    0.12    0.11    1.11    0.02    0.02    197.11    1.51    0.09    22.01
115288    GOODS-S    53.1309357    -27.723377    1.025    0.96    0.00    0.17    1.15    0.04    0.02    1.15    0.10    0.01    92.76     1.67    0.16    23.76
13543     GOODS-S    53.1314798    -27.921453    1.134    1.20    0.30    0.02    1.05    0.05    0.09    1.17    0.10    0.03    87.55     1.39    0.15    23.99
16151     GOODS-S    53.1318058    -27.917095    1.089    0.98    0.02    0.02    1.09    0.06    0.02    1.00    0.02    0.04    77.21     1.24    0.14    24.30
102547    GOODS-S    53.1318547    -27.751345    1.098    0.99    0.01    0.01    1.06    0.70    0.43    1.00    0.03    0.08    89.87     1.25    0.14    23.72
71071     GOODS-S    53.1323007    -27.810923    0.996    0.94    0.00    0.01    1.49    0.88    0.00    0.94    0.01    0.03    51.92     1.41    0.22    24.69
