# pearsid field ra dec specz specz_source specz_qual imag
105455 GOODS-N 189.260316 62.305642 0.7669 Wirth_2004 4 22.58
92467 GOODS-N 189.260343 62.279218 0.7441 Barger_K Z 23.44
101785 GOODS-N 189.260380 62.297084 1.0176 Barger_K Z 22.55
48397 GOODS-N 189.260927 62.204579 1.2257 Barger_K Z 23.49
93907 GOODS-N 189.261660 62.282144 1.0190 Barger_ACS Z 23.17
102919 GOODS-N 189.261814 62.298598 0.7789 Barger_ACS Z 23.61
71099 GOODS-N 189.262190 62.241048 0.8984 Wirth_2004 4 23.27
90320 GOODS-N 189.263713 62.275804 0.7452 Barger_K Z 21.92
92570 GOODS-N 189.263825 62.279586 0.7439 Barger_UV Z 22.42
102776 GOODS-N 189.263967 62.299514 1.0167 Wirth_2004 4 22.68
102886 GOODS-N 189.267768 62.300502 0.6389 Barger_ACS Z 23.32
92276 GOODS-N 189.269839 62.278327 0.6045 Barger_24m Z 24.43
92250 GOODS-N 189.270134 62.278701 0.6041 Barger_ACS Z 23.46
89655 GOODS-N 189.271113 62.274348 1.1205 Barger_K Z 23.36
109851 GOODS-N 189.271150 62.312059 0.8747 Barger_ACS Z 23.29
100703 GOODS-N 189.271952 62.296227 0.7888 Barger_UV Z 23.21
112339 GOODS-N 189.273057 62.314237 0.8555 Barger_ACS Z 23.44
112002 GOODS-N 189.273162 62.313660 0.8569 Barger_K Z 23.66
106613 GOODS-N 189.274167 62.304796 0.8551 Barger_UV Z 23.52
78698 GOODS-N 189.276272 62.255026 0.8398 Barger_UV Z 21.97
105048 GOODS-N 189.277166 62.305090 0.8558 Barger_ACS Z 22.88
99579 GOODS-N 189.277841 62.293851 1.1436 Wirth_2004 4 22.75
93156 GOODS-N 189.278632 62.283928 1.0200 Reddy_2006 4 19.84
88929 GOODS-N 189.279212 62.274477 0.9427 Barger_ACS Z 22.82
117418 GOODS-N 189.280145 62.321451 0.6767 Barger_UV Z 23.22
117360 GOODS-N 189.281073 62.321985 0.9440 Barger_ACS Z 23.16
86854 GOODS-N 189.282229 62.271106 0.9400 Barger_ACS Z 21.85
85422 GOODS-N 189.282733 62.268248 0.9358 Barger_K Z 21.53
91474 GOODS-N 189.285094 62.277525 1.2217 Barger_K Z 23.59
82254 GOODS-N 189.286655 62.260921 0.6910 Barger_UV Z 23.31
109801 GOODS-N 189.289007 62.309933 0.8511 Barger_K Z 23.26
105902 GOODS-N 189.293019 62.303436 0.6968 Barger_K Z 23.08
84974 GOODS-N 189.293538 62.264946 0.9349 Barger_ACS Z 23.56
109170 GOODS-N 189.295689 62.309360 0.6310 Barger_K Z 22.79
117828 GOODS-N 189.295843 62.324542 1.1450 Barger_UV Z 22.00
83170 GOODS-N 189.299272 62.263187 0.9350 Barger_K Z 23.51
94085 GOODS-N 189.299922 62.283150 1.1420 Barger_K Z 22.77
97904 GOODS-N 189.300023 62.290841 0.6807 Barger_K Z 21.68
82986 GOODS-N 189.302899 62.262840 0.9363 Barger_ACS Z 22.11
86999 GOODS-N 189.303304 62.271670 0.8510 Barger_K Z 22.34
120306 GOODS-N 189.304790 62.330422 0.6967 Barger_K Z 22.71
105709 GOODS-N 189.305622 62.304234 1.0822 Barger_UV Z 23.31
85579 GOODS-N 189.306587 62.267739 0.9360 Barger_24m Z 23.29
79939 GOODS-N 189.308343 62.256665 0.7685 Barger_K Z 23.29
84077 GOODS-N 189.308578 62.263693 0.8399 Barger_K Z 23.45
121439 GOODS-N 189.309340 62.332923 0.8879 Barger_K Z 22.64
100715 GOODS-N 189.309370 62.296776 0.9420 Barger_UV Z 22.65
116636 GOODS-N 189.309528 62.320093 1.2245 Barger_K Z 23.84
79587 GOODS-N 189.310322 62.258285 0.8569 Wirth_2004 4 22.26
90557 GOODS-N 189.314376 62.275709 0.8518 Barger_UV Z 22.61
125227 GOODS-N 189.315388 62.342819 1.2258 Barger_ACS Z 23.93
117385 GOODS-N 189.315519 62.321239 1.2238 Barger_ACS Z 23.95
114275 GOODS-N 189.317003 62.316902 1.0273 Barger_ACS Z 23.48
98984 GOODS-N 189.317509 62.291810 1.0822 Barger_K Z 23.52
120388 GOODS-N 189.317761 62.333201 1.1140 Barger_K Z 23.00
100198 GOODS-N 189.319067 62.294067 0.9423 Barger_UV Z 23.53
98209 GOODS-N 189.319484 62.292583 1.1460 Barger_K Z 22.64
107263 GOODS-N 189.320124 62.306652 0.8390 Barger_24m Z 22.77
