# col1     col2         col3          col4     delta_ra                 delta_dec                col5     col6      col7      id        field     ra            dec            x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W    e_F606W    f_F814W   e_F814W    f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  122485   53.0311589   -27.7100396   24.655   -7.179999997219966E-6    -4.6000000253343387E-7   0.038    34.0      32.2      42943.0   GOODS-S   53.03116608   -27.71003914   15165.45   16301.68   -1.0     1.9628   1.2622        0.089983      1.1718        0.023532      1.1483     0.03946    1.2163    0.052286   2.4243    0.12329    3.3155    0.23468    3.0562    0.10973    1.0519    3.5           5.907     4.541     6.78          0.0          0       0            0           1          0           8            4            8            9.43    0.0   0.022943389898012524   
  126285   53.0312471   -27.7015067   25.071   9.10000004239464E-7      8.700000009298492E-7     0.045    22.6      22.6      44762.0   GOODS-S   53.03124619   -27.70150757   15161.41   16813.55   -1.0     1.311    0.80864       0.071953      0.93167       0.021964      0.95528    0.029143   1.0475    0.043846   1.8238    0.086769   1.5724    0.13891    1.7987    0.075185   1.0745    3.5           5.855     2.77      5.26          0.0          0       0            0           1          0           8            20           8            8.76    0.0   0.004268767879379902   
  127433   53.0313562   -27.6991639   23.485   7.019999998192361E-6     -4.27999999885742E-6     0.015    91.6      16.3      45274.0   GOODS-S   53.03134918   -27.69915962   15156.06   16954.43   -1.0     0.296    3.6144        0.10887       3.9498        0.02445       2.6572     0.025774   4.3927    0.035573   6.3778    0.089332   6.3124    0.18878    6.8487    0.097917   1.0645    3.5           4.758     4.391     4.73          0.0          0       0            0           1          0           7            16           7            8.46    0.1   0.027167713560398706   
  118339   53.031546    -27.7185651   24.952   2.2699999959741035E-6    1.7900000024440033E-6    0.037    29.0      26.6      41037.0   GOODS-S   53.03154373   -27.71856689   15144.85   15790.12   -1.0     0.6741   1.1496        0.090942      1.1708        0.022695      0.69418    0.025215   1.3       0.034364   1.8085    0.076107   1.8999    0.14922    1.9211    0.079049   1.0734    3.88          3.762     3.608     4.55          0.0          2       0            0           1          0           8            4            8            8.53    0.3   0.00968807844345115    
  127783   53.0315753   -27.6985263   24.718   8.680000000538257E-6     -5.6400000012502005E-6   0.032    180.0     180.0     45400.0   GOODS-S   53.03156662   -27.69852066   15144.64   16992.85   -1.0     0.6816   -99.0         -99.0         0.91773       0.025631      0.67992    0.028194   1.2609    0.039145   1.5986    0.10231    -99.0     -99.0      1.7246    0.086631   1.0754    3.5           6.443     2.466     5.13          0.0          0       0            0           1          0           6            0            6            8.23    0.6   0.03431798136881433    
  123517   53.0315875   -27.7072382   23.494   -2.0100000028833165E-6   -9.599999977183415E-7    0.016    129.0     110.0     43577.0   GOODS-S   53.03158951   -27.70723724   15142.95   16469.81   -1.0     2.2566   2.9283        0.091397      3.195         0.021085      4.214      0.032367   4.0336    0.043078   5.4225    0.090417   6.2694    0.19428    6.7917    0.11806    1.0375    3.5           6.45      5.612     5.98          0.0          3       0            0           1          0           10           4            10           9.89    0.0   0.007279038547987365   
  124826   53.0317857   -27.7053062   25.07    9.269999999617085E-6     1.797000000181015E-5     0.047    36.6      27.5      43977.0   GOODS-S   53.03177643   -27.70532417   15133.26   16584.63   -1.0     1.3451   1.1122        0.089928      1.2353        0.020215      0.44341    0.040187   0.85318   0.053925   2.58      0.11675    3.0158    0.24209    3.3255    0.091533   1.0546    3.5           8.816     2.898     7.4           0.0          0       0            0           1          0           10           4            10           9.48    0.6   0.07111973051653034    
  118407   53.0320416   -27.718933    25.787   -5.670000000179698E-6    -1.1340000000359396E-5   0.059    11.3      11.1      40883.0   GOODS-S   53.03204727   -27.71892166   15118.13   15768.77   -1.0     0.4415   0.46774       0.089215      0.44804       0.021451      0.40996    0.022447   0.61712   0.032389   0.6491    0.067247   0.69683   0.13196    0.66271   0.057184   1.1007    4.01          3.287     2.476     3.76          0.0          0       0            2           1          0           8            4            8            7.71    0.0   0.04464422138577519    
  126821   53.0323483   -27.7016927   25.534   -1.1779999994132595E-5   3.7000000006059963E-6    0.046    48.4      48.3      44569.0   GOODS-S   53.03236008   -27.7016964    15102.32   16802.34   -1.0     0.7282   0.42366       0.091747      0.52044       0.022791      0.33704    0.018866   0.47992   0.028159   0.66499   0.057735   0.53174   0.11433    0.64854   0.040439   1.1494    3.5           2.447     2.199     2.56          0.0          2       0            2           1          0           10           4            10           7.85    0.4   0.0398398527011556     
  125629   53.0324601   -27.7036654   25.374   -2.586000000093236E-5    -3.876999999974373E-5    0.066    68.7      63.8      44129.0   GOODS-S   53.03248596   -27.70362663   15095.5    16686.5    -1.0     3.4213   0.11821       0.090691      0.098973      0.021248      0.075698   0.018281   0.10157   0.026583   0.13055   0.054379   0.14527   0.11066    0.12077   0.028634   1.1796    4.85          1.437     1.233     2.03          0.0          3       0            2           1          0           10           4            10           8.45    0.0   0.16209267225711269    
