# All galaxies in bin:   1.1 <= D4000 < 1.3
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
116653    GOODS-S    0.734    0.69    0.77    0.74    122.59    1.30    -0.025       +0.003      23.08
103864    GOODS-S    0.783    0.74    0.31    0.74    127.58    1.25    -0.024       -0.024      22.58
134389    GOODS-S    0.895    0.94    0.83    0.89    170.14    1.27    +0.024       -0.003      22.36
122206    GOODS-S    0.997    0.83    0.86    0.86    44.15     1.11    -0.084       -0.069      24.73
132474    GOODS-S    0.683    0.64    0.38    0.66    174.31    1.19    -0.026       -0.014      22.73
102640    GOODS-S    0.947    0.42    0.48    0.30    128.71    1.21    -0.271       -0.332      23.29
99892     GOODS-S    1.087    1.01    1.02    1.03    93.64     1.15    -0.037       -0.027      23.78
118459    GOODS-S    0.671    0.68    0.30    0.66    104.73    1.13    +0.005       -0.007      23.35
120825    GOODS-S    0.733    0.69    0.30    0.67    272.75    1.22    -0.025       -0.036      22.03
106859    GOODS-S    0.738    0.88    0.32    0.86    305.43    1.29    +0.082       +0.070      22.28
102847    GOODS-S    1.110    1.03    1.10    1.07    97.39     1.26    -0.038       -0.019      23.93
93102     GOODS-S    1.225    1.13    1.10    1.14    98.60     1.21    -0.043       -0.038      23.81
99014     GOODS-S    0.664    0.59    0.47    0.68    641.43    1.29    -0.044       +0.010      21.37
123843    GOODS-S    0.613    0.36    0.32    0.30    322.49    1.18    -0.157       -0.194      22.41
90388     GOODS-S    0.896    0.92    0.50    0.91    353.71    1.27    +0.013       +0.007      22.08
93627     GOODS-S    1.221    1.06    1.07    1.10    36.90     1.23    -0.072       -0.054      24.73
109900    GOODS-S    0.739    0.85    0.41    0.73    370.58    1.13    +0.064       -0.005      22.40
102163    GOODS-S    1.110    0.76    0.98    0.98    68.63     1.21    -0.166       -0.062      24.15
100543    GOODS-S    0.683    0.72    0.39    0.66    171.69    1.17    +0.022       -0.014      23.33
102153    GOODS-S    0.736    0.72    0.40    0.74    278.79    1.17    -0.009       +0.002      22.47
110870    GOODS-S    0.670    0.71    0.35    0.65    1001.01    1.21    +0.024       -0.012      20.05
97568     GOODS-S    0.955    1.35    0.35    1.33    371.51    1.26    +0.202       +0.192      21.93
96481     GOODS-S    0.647    0.62    0.30    0.61    441.75    1.25    -0.016       -0.022      21.70
