# These galaxies are in the GOODS-S field.
# pearsid pearsra pearsdec matchid matchra matchdec source zphot zphot_l68 zphot_u68
122354 53.039489 -27.710649 23278 53.039467 -27.710653 CANDELS 2.4150 2.2300 2.6400
123168 53.039775 -27.709049 23080 53.039787 -27.709059 CANDELS 0.6470 0.5900 0.7100
110505 53.039800 -27.732202 21067 53.039806 -27.732202 CANDELS 0.5020 0.4500 0.5500
117178 53.039818 -27.720517 22343 53.039814 -27.720516 CANDELS 1.0240 0.9700 1.0700
122372 53.039908 -27.710942 23275 53.039940 -27.710960 CANDELS 2.5620 2.5200 2.6000
121733 53.039915 -27.711628 23407 53.039917 -27.711632 CANDELS 0.5520 0.5100 0.5900
130643 53.040019 -27.692171 25361 53.040073 -27.692186 CANDELS 0.2350 0.1100 0.5900
128652 53.040036 -27.696569 25789 53.040043 -27.696575 CANDELS 1.4770 1.4000 1.5500
109948 53.040106 -27.735932 20507 53.040093 -27.735922 CANDELS 0.8760 0.8100 0.9500
130226 53.040164 -27.692947 25769 53.040180 -27.692946 CANDELS 3.0770 3.0200 3.1300
120559 53.040175 -27.713881 23175 53.040173 -27.713884 CANDELS 0.6090 0.5600 0.6600
130287 53.040344 -27.693388 46425 53.040352 -27.693384  3DHST  0.3629 -99.0000 -99.0000
119927 53.040404 -27.715391 23949 53.040367 -27.715395 CANDELS 0.8170 0.7000 1.7300
117725 53.040435 -27.713365 23259 53.040436 -27.713362 CANDELS 0.7530 0.7000 0.8100
125271 53.040439 -27.704954 26337 53.040424 -27.704956 CANDELS 3.0020 2.9500 3.0500
122302 53.040488 -27.710731 23249 53.040478 -27.710714 CANDELS 3.0780 3.0100 3.1300
112573 53.040569 -27.730092 21143 53.040604 -27.730070 CANDELS 4.3590 4.2500 4.4600
118557 53.040588 -27.717943 22588 53.040565 -27.717956 CANDELS 0.1090 0.0600 1.3500
122173 53.040638 -27.711236 23131 53.040638 -27.711245 CANDELS 0.0940 0.0600 0.1400
118531 53.040694 -27.718169 22573 53.040684 -27.718170 CANDELS 2.8240 2.7400 2.9100
110031 53.040739 -27.735774 20522 53.040745 -27.735779 CANDELS 0.7010 0.6600 0.7400
115522 53.040766 -27.723907 21908 53.040749 -27.723888 CANDELS 1.6210 1.5600 1.6900
127678 53.040774 -27.699684 26343 53.040783 -27.699680 CANDELS 2.3450 2.2800 2.4200
119937 53.040785 -27.716017 22801 53.040783 -27.716024 CANDELS 0.2850 0.2300 0.3400
116250 53.040829 -27.719064 22702 53.040825 -27.719065 CANDELS 2.6310 2.0900 2.7000
121746 53.040861 -27.711600 23363 53.040844 -27.711607 CANDELS 0.4810 0.1100 0.9600
127342 53.040897 -27.696856 25635 53.040886 -27.696859 CANDELS 1.4450 1.3900 1.5100
128553 53.040928 -27.693240 25567 53.040920 -27.693251 CANDELS 0.4250 0.3700 0.4700
110902 53.040983 -27.733683 20741 53.041012 -27.733681 CANDELS 0.4920 0.4300 0.5500
124589 53.041142 -27.702330 26611 53.041153 -27.702330 CANDELS 0.3820 0.3300 0.4400
119324 53.041164 -27.717034 22682 53.041168 -27.717039 CANDELS 0.3320 0.1600 3.7900
119744 53.041215 -27.715129 23331 53.041206 -27.715128 CANDELS 0.0600 0.0400 0.0800
120434 53.041389 -27.713965 23274 53.041382 -27.713968 CANDELS 0.2650 0.1600 0.4000
129318 53.041401 -27.695745 25948 53.041409 -27.695746 CANDELS 3.7070 3.6000 3.8100
128566 53.041428 -27.697668 25996 53.041443 -27.697672 CANDELS 3.8880 3.7400 4.0300
119721 53.041459 -27.714665 23516 53.041466 -27.714634 CANDELS 0.7280 0.6700 0.7800
119608 53.041562 -27.715577 23483 53.041553 -27.715582 CANDELS 0.5180 0.4700 0.5600
112095 53.041581 -27.731101 21033 53.041595 -27.731091 CANDELS 0.8300 0.7300 0.9300
120302 53.041585 -27.713369 23383 53.041641 -27.713366 CANDELS 0.0520 0.0400 0.0700
115258 53.041670 -27.724331 21860 53.041676 -27.724333 CANDELS 1.1950 1.1300 1.2600
130829 53.041778 -27.692403 25321 53.041786 -27.692404 CANDELS 4.8020 4.7300 4.8800
113298 53.041827 -27.725868 22002 53.041824 -27.725864 CANDELS 1.0280 0.9700 1.0800
120441 53.041854 -27.714301 23569 53.041863 -27.714294 CANDELS 0.5670 0.5000 0.6400
128815 53.042018 -27.696882 26159 53.042015 -27.696856 CANDELS 1.5510 1.4600 1.6400
119899 53.042096 -27.713943 23535 53.042088 -27.713945 CANDELS 0.5790 0.4800 0.6700
109856 53.042155 -27.736083 20508 53.042164 -27.736093 CANDELS 0.2580 0.2000 0.3200
114230 53.042172 -27.725927 21772 53.042172 -27.725925 CANDELS 0.9850 0.9300 1.0400
112093 53.042327 -27.726208 21926 53.042328 -27.726204 CANDELS 0.9640 0.9100 1.0200
108133 53.042455 -27.737869 20343 53.042458 -27.737862 CANDELS 2.2910 2.2300 2.3500
111030 53.042569 -27.733020 20860 53.042576 -27.733019 CANDELS 1.0690 1.0100 1.1300
115151 53.042754 -27.718589 23933 53.042755 -27.718563 CANDELS 0.1000 0.0600 4.4600
114677 53.042954 -27.721398 22437 53.042954 -27.721403 CANDELS 0.1340 0.0800 0.1900
123390 53.042995 -27.708881 23242 53.043003 -27.708879 CANDELS 0.5350 0.4400 0.6200
115673 53.043089 -27.724046 21856 53.043083 -27.724051 CANDELS 0.2480 0.1800 0.3300
110306 53.043239 -27.735498 20549 53.043243 -27.735504 CANDELS 1.9420 1.8700 2.0200
112887 53.043274 -27.716895 24617 53.043270 -27.716900 CANDELS 0.5920 0.5700 0.6200
113359 53.043285 -27.727127 21527 53.043293 -27.727125 CANDELS 1.9330 1.8800 1.9900
130767 53.043339 -27.690985 25345 53.043373 -27.691032 CANDELS 1.9300 1.7900 2.0500
121429 53.043360 -27.713175 42144 53.043390 -27.713176  3DHST  2.7201 -99.0000 -99.0000
120843 53.043398 -27.714292 23857 53.043400 -27.714287 CANDELS 5.2300 0.5900 5.2900
121030 53.043546 -27.713134 23523 53.043465 -27.713152 CANDELS 0.3590 0.1600 0.5100
124737 53.043574 -27.704163 26556 53.043564 -27.704174 CANDELS 1.2780 1.2100 1.3500
121765 53.043653 -27.711959 26226 53.043671 -27.711973 CANDELS 2.5500 2.4800 2.6200
124081 53.043674 -27.706935 22975 53.043659 -27.706938 CANDELS 2.5300 2.4600 2.5900
114388 53.043745 -27.719148 22711 53.043758 -27.719164 CANDELS 0.4530 0.4300 4.7500
113685 53.044018 -27.727462 21446 53.044006 -27.727467 CANDELS 0.9140 0.8400 0.9800
119960 53.044104 -27.714979 23787 53.044102 -27.714987 CANDELS 0.5900 0.5400 0.6400
113317 53.044274 -27.728194 21357 53.044285 -27.728201 CANDELS 2.5440 2.4600 2.6100
114082 53.044315 -27.726677 21566 53.044304 -27.726673 CANDELS 2.0690 1.9800 2.1700
119997 53.044429 -27.715415 23827 53.044434 -27.715414 CANDELS 0.6960 0.6000 0.7900
117620 53.044548 -27.720404 22278 53.044548 -27.720406 CANDELS 0.7200 0.6500 0.8000
111842 53.044578 -27.729709 21282 53.044579 -27.729706 CANDELS 1.2900 1.2200 1.3600
130561 53.044804 -27.692678 25953 53.044823 -27.692673 CANDELS 1.6130 1.5200 1.7100
118534 53.044835 -27.709606 26510 53.044830 -27.709616 CANDELS 0.3540 0.3000 0.4100
126958 53.044897 -27.696014 25787 53.044903 -27.696007 CANDELS 0.6010 0.5400 0.6700
119585 53.044972 -27.716055 23910 53.044968 -27.716055 CANDELS 0.6770 0.6300 0.7200
120229 53.045148 -27.714340 23670 53.045143 -27.714348 CANDELS 0.7510 0.6900 0.8100
