# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_north_idv41 figs_ra figs_dec threed_ra threed_dec
300562 34443 189.139053 62.319801 189.139099 62.319824
300563 34460 189.096039 62.319775 189.096024 62.319771
300564 34251 189.163498 62.319664 189.163498 62.319660
300565 34458 189.224823 62.319775 189.224823 62.319775
300566 34417 189.085007 62.319576 189.084961 62.319580
300569 34423 189.160889 62.319565 189.160889 62.319569
300570 34440 189.133072 62.319553 189.133072 62.319553
300571 34312 189.191864 62.319519 189.191879 62.319527
300572 34414 189.215851 62.319565 189.215851 62.319538
300573 34377 189.190735 62.319508 189.190735 62.319508
300574 34353 189.252426 62.319469 189.252441 62.319469
300575 34405 189.150772 62.319447 189.150772 62.319450
300576 34397 189.158340 62.319454 189.158340 62.319458
300577 34420 189.195053 62.319508 189.195053 62.319508
300578 34315 189.218155 62.319389 189.218155 62.319393
300579 34413 189.142136 62.319389 189.142136 62.319389
300580 34321 189.156815 62.319298 189.156815 62.319302
300581 34422 189.120010 62.319405 189.120026 62.319382
300582 34341 189.193344 62.319305 189.193344 62.319309
300583 34400 189.182907 62.319363 189.182922 62.319363
300584 34387 189.241943 62.319244 189.241943 62.319244
300585 34392 189.128098 62.319160 189.128082 62.319164
300586 34342 189.097000 62.319069 189.096985 62.319073
300587 34381 189.148315 62.319096 189.148331 62.319096
300588 34380 189.146255 62.319080 189.146255 62.319080
300590 34313 189.210297 62.318996 189.210297 62.319000
300592 34311 189.257797 62.318966 189.257797 62.318954
300593 34361 189.176483 62.318977 189.176468 62.318985
300594 34347 189.235001 62.318924 189.235016 62.318924
300595 34351 189.093445 62.318836 189.093506 62.318874
300596 34314 189.200974 62.318863 189.200974 62.318867
300597 34336 189.227142 62.318863 189.227142 62.318863
300599 34319 189.103577 62.318722 189.103561 62.318733
300600 34279 189.133652 62.318638 189.133636 62.318642
300601 34211 189.257187 62.318661 189.257187 62.318668
300603 34316 189.109650 62.318607 189.109650 62.318607
300605 34275 189.251709 62.318630 189.251740 62.318626
300606 34309 189.132233 62.318550 189.132217 62.318554
300607 34193 189.217346 62.318485 189.217346 62.318489
300608 34292 189.240997 62.318531 189.240997 62.318527
300609 34296 189.121277 62.318462 189.121216 62.318462
300611 34295 189.120773 62.318447 189.120758 62.318459
300612 34225 189.216751 62.318439 189.216751 62.318455
300613 34298 189.139832 62.318401 189.139816 62.318398
300614 34084 189.150375 62.318130 189.150360 62.318130
300615 34288 189.118881 62.318340 189.118881 62.318344
300616 34213 189.215759 62.318287 189.215744 62.318287
300617 34280 189.213486 62.318340 189.213486 62.318344
300619 34222 189.228180 62.318256 189.228195 62.318253
300620 34171 189.201126 62.318150 189.201141 62.318161
300621 34272 189.212997 62.318275 189.213013 62.318272
300622 34140 189.208145 62.318104 189.208145 62.318104
300623 34264 189.202072 62.318237 189.202072 62.318241
300624 34257 189.240707 62.318222 189.240723 62.318222
300625 34245 189.247421 62.318165 189.247391 62.318176
300626 34240 189.199081 62.318108 189.199081 62.318119
300627 34206 189.187012 62.318073 189.187012 62.318077
300628 34148 189.234238 62.317936 189.234238 62.317936
300629 34208 189.136642 62.317970 189.136658 62.317970
300630 34224 189.170944 62.317951 189.170959 62.317955
300631 34214 189.152176 62.317917 189.152176 62.317921
300632 34179 189.213226 62.317848 189.213226 62.317852
300633 34162 189.230545 62.317841 189.230545 62.317841
300634 34077 189.210922 62.317699 189.210938 62.317699
300635 34185 189.233521 62.317738 189.233536 62.317738
300636 34110 189.132462 62.317570 189.132462 62.317577
300637 34173 189.257050 62.317673 189.257034 62.317673
300638 34152 189.094818 62.317501 189.094788 62.317501
300639 33896 189.163971 62.317196 189.163986 62.317204
300640 34169 189.092529 62.317436 189.092514 62.317440
300641 33724 189.189148 62.316944 189.189148 62.316944
300642 34130 189.113434 62.317429 189.113419 62.317432
300643 34113 189.149246 62.317368 189.149246 62.317371
300644 34109 189.167374 62.317390 189.167374 62.317394
300645 34167 189.216751 62.317459 189.216751 62.317467
300646 34151 189.183670 62.317444 189.183640 62.317467
300647 34156 189.141724 62.317383 189.141678 62.317375
300648 33780 189.202042 62.317150 189.202026 62.317154
300649 34153 189.108887 62.317299 189.108841 62.317307
300650 34023 189.212387 62.317223 189.212402 62.317223
300651 34141 189.093628 62.317257 189.093613 62.317253
300652 34137 189.096725 62.317223 189.096741 62.317181
300653 34136 189.167099 62.317280 189.167099 62.317287
300655 34133 189.131790 62.317188 189.131775 62.317196
300656 34132 189.141663 62.317192 189.141663 62.317188
300657 34131 189.147812 62.317158 189.147812 62.317158
300658 34122 189.132828 62.317066 189.132828 62.317070
300659 34118 189.207199 62.317066 189.207199 62.317070
300660 34097 189.134521 62.316967 189.134506 62.316959
300661 33993 189.256607 62.316875 189.256592 62.316860
300662 34078 189.260361 62.316902 189.260330 62.316902
300664 34100 189.156799 62.316898 189.156799 62.316902
300665 34028 189.219894 62.316822 189.219894 62.316826
300668 33998 189.111481 62.317238 189.111465 62.317234
300669 34072 189.146896 62.316673 189.146896 62.316669
300670 33961 189.191177 62.316559 189.191177 62.316555
300672 33985 189.163498 62.316452 189.163498 62.316452
300673 34020 189.163132 62.316360 189.163132 62.316364
300674 34062 189.179642 62.316532 189.179657 62.316540
300675 34053 189.118805 62.316452 189.118835 62.316441
300676 34044 189.107773 62.316372 189.107788 62.316383
300677 33968 189.135925 62.316284 189.135925 62.316284
300678 33995 189.156448 62.316363 189.156509 62.316368
300680 34040 189.225540 62.316433 189.225540 62.316444
300681 34029 189.149796 62.316353 189.149796 62.316357
300682 34007 189.234039 62.316383 189.234039 62.316380
300683 34025 189.108826 62.316277 189.108826 62.316277
300684 33987 189.100861 62.316181 189.100861 62.316185
300685 34014 189.130737 62.316238 189.130753 62.316238
300686 34018 189.159912 62.316261 189.159912 62.316265
300687 33966 189.177383 62.316196 189.177383 62.316200
300689 33970 189.207153 62.316116 189.207153 62.316120
300690 33990 189.107880 62.316055 189.107849 62.316071
300692 33986 189.241547 62.316109 189.241547 62.316113
300694 33984 189.201965 62.316113 189.201935 62.316109
300695 33979 189.197586 62.316074 189.197586 62.316078
300696 33989 189.210114 62.316093 189.210098 62.316101
300697 33978 189.239182 62.316044 189.239182 62.316044
300698 33974 189.124512 62.315975 189.124481 62.315975
300699 33967 189.133408 62.315945 189.133408 62.315945
300700 33963 189.090591 62.315865 189.090591 62.315865
300701 33943 189.253799 62.315899 189.253830 62.315899
300702 33948 189.237488 62.315945 189.237473 62.315956
300703 33935 189.204880 62.315876 189.204880 62.315880
300704 33960 189.092484 62.315819 189.092468 62.315819
