# col1    col2          col3         col4     delta_ra                 delta_dec                col5     col6     col7     correct_dec          id        field     ra             dec           x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W   e_F606W    f_F814W   e_F814W   f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  89178   189.1195465   62.2727854   25.866   -2.136999998469946E-5    1.4321111109438789E-5    0.08     18.3     17.5     62.27269651111111    26593.0   GOODS-N   189.11956787   62.27268219   13384.73   12289.68   -1.0     0.09     0.27729       0.050478      0.3141        0.025956      1.0267    0.068313   -99.0     -99.0     1.3593    0.090266   1.3114    0.23569    1.4666    0.16739    1.0184    6.93          5.405     2.867     13.4          0.0          3       0            0           1          0           11           6            11           6.56    0.3   0.06276312229301709    
  55253   189.1198024   62.2126974   25.027   5.649999991419463E-6     -1.1268888883364525E-5   0.036    43.1     42.3     62.212608511111114   14293.0   GOODS-N   189.11979675   62.21261978   13384.37   8685.89    -1.0     4.1333   0.70415       0.050556      0.75263       0.032284      0.44999   0.019871   -99.0     -99.0     1.0779    0.034971   1.0557    0.074831   1.114     0.079841   1.1032    3.5           3.722     2.877     4.26          0.0          0       0            0           1          0           8            6            8            9.45    0.5   0.04166146242192609    
  53606   189.119958    62.2110334   23.95    8.659999991778022E-6     -8.24888888928399E-6     0.018    141.0    140.0    62.21094451111111    13934.0   GOODS-N   189.11994934   62.21095276   13380.49   8585.81    0.8795   1.019    2.2416        0.051369      1.9562        0.032518      2.2936    0.019818   -99.0     -99.0     3.2033    0.033034   3.2264    0.072995   2.7797    0.07665    1.1117    3.5           3.6       2.71      3.54          0.0          0       0            0           1          0           8            6            8            8.74    0.0   0.033062256759695555   
  76410   189.1200443   62.2498699   25.753   -1.1850000021240703E-5   -1.5488888891468378E-6   0.065    24.4     23.5     62.24978101111111    21869.0   GOODS-N   189.12005615   62.24978256   13373.54   10915.73   -1.0     0.5406   0.8294        0.056883      0.88047       0.025325      0.25417   0.023679   -99.0     -99.0     1.3356    0.03373    1.4818    0.10033    1.553     0.087267   1.0688    4.43          4.032     3.043     4.81          0.0          0       0            0           1          0           12           5            12           8.48    0.2   0.020631065047631483   
  85127   189.1201871   62.2650795   25.775   -6.3800000020819425E-6   1.7921111108876175E-5    0.096    18.7     18.3     62.26499061111111    25055.0   GOODS-N   189.12019348   62.26497269   13368.28   11827.18   -1.0     0.7581   0.36915       0.050743      0.45043       0.025325      0.11386   0.032282   -99.0     -99.0     0.90866   0.043032   0.84138   0.11418    1.0136    0.095213   1.0615    5.3           3.49      2.874     6.17          0.0          0       0            0           1          0           12           6            12           8.56    0.2   0.0653954680661157     
  45861   189.1205005   62.1956948   25.803   9.339999999724569E-5     -3.0838888889661575E-5   0.076    139.0    139.0    62.19560591111111    10679.0   GOODS-N   189.1204071    62.19563675   13369.06   7666.93    -1.0     2.0496   0.43643       0.052974      0.37916       0.059366      0.35202   0.036659   -99.0     -99.0     0.63637   0.10661    1.0082    0.12082    0.86476   0.19867    1.0709    6.8           2.573     1.921     6.32          0.0          0       0            2           1          0           2            6            2            9.31    0.2   0.19215724294435288    
  48193   189.1206303   62.2001574   25.432   -5.6900000231507875E-6   -1.2358888888286401E-5   0.051    20.8     18.5     62.20006851111111    11677.0   GOODS-N   189.12063599   62.20008087   13362.46   7933.55    -1.0     0.4972   0.44509       0.050478      0.44034       0.042485      0.31944   0.031312   -99.0     -99.0     0.87525   0.064255   0.87649   0.098137   0.85609   0.093652   1.1233    3.5           4.273     2.006     5.05          0.0          0       0            2           1          0           4            9            4            8.09    0.0   0.04550611263382625    
  56885   189.1206449   62.2160461   25.167   3.9430000015272526E-5    3.381111113753832E-6     0.051    17.9     17.8     62.21595721111111    14975.0   GOODS-N   189.12060547   62.21595383   13361.63   8885.93    -1.0     0.4574   0.55637       0.050478      0.51231       0.031623      0.43731   0.025265   -99.0     -99.0     0.84152   0.037669   0.92131   0.082523   0.83755   0.093704   1.08      4.63          3.157     2.717     4.36          0.0          3       0            2           1          0           8            6            8            7.91    0.0   0.06727792849027574    
  78497   189.1208354   62.2534121   25.63    1.631000000656968E-5     6.111111119366797E-7     0.065    21.8     21.7     62.25332321111111    22615.0   GOODS-N   189.12081909   62.2533226    13351.97   11128.14   -1.0     0.7322   0.42805       0.053388      0.54177       0.025325      0.27911   0.019469   -99.0     -99.0     0.74092   0.026267   0.59028   0.072685   0.7376    0.061429   1.1066    4.35          2.957     2.258     3.31          0.0          2       0            2           1          0           12           5            12           8.25    0.2   0.02742439354188414    
  81429   189.1209659   62.2588049   24.224   -5.780000009281139E-6    -5.688888862209751E-7    0.025    38.5     38.5     62.25871601111111    23791.0   GOODS-N   189.12097168   62.25871658   13347.06   11451.64   -1.0     0.9297   1.5199        0.05535       1.4989        0.025325      0.82248   0.033457   -99.0     -99.0     3.2523    0.04496    3.6193    0.13013    3.5239    0.098766   1.0579    3.51          6.531     3.744     6.39          0.0          0       0            0           1          0           12           5            12           9.25    0.0   0.009899858277842904   
