# Catalog for all galaxies that matched between 3DHST and PEARS in GOODS-N. 
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
52829 GOODS-N 1.1436 3DHST 189.140780 62.209556 0.7745 0.1665 0.8507 0.0930
52886 GOODS-N 0.6421 3DHST 189.242753 62.208354 1.4458 0.6050 1.2645 0.2822
52896 GOODS-N 0.9424 3DHST 189.199133 62.209159 1.1104 0.1376 1.3318 0.0814
52998 GOODS-N 0.8819 3DHST 189.151611 62.210383 1.1620 0.1083 1.4548 0.0735
53198 GOODS-N 1.2216 3DHST 189.168761 62.208508 1.1715 0.6799 1.2364 0.3992
53362 GOODS-N 1.1201 3DHST 189.138379 62.209994 1.1641 0.1768 1.1749 0.1027
53403 GOODS-N 1.0428 3DHST 189.166619 62.209355 1.2340 0.3038 1.2140 0.1684
53471 GOODS-N 0.8341 3DHST 189.179822 62.211731 1.4505 0.1165 1.7397 0.0596
53532 GOODS-N 1.0514 3DHST 189.164160 62.210402 1.0271 0.4572 1.0964 0.2775
53563 GOODS-N 0.8729 3DHST 189.192230 62.212921 1.3352 0.1064 1.6545 0.0705
53606 GOODS-N 1.0190 3DHST 189.119958 62.210945 1.0172 0.1634 0.9332 0.0774
53708 GOODS-N 0.6887 3DHST 189.209434 62.212731 1.3286 0.1065 1.7750 0.0680
54327 GOODS-N 0.9206 3DHST 189.184139 62.211217 1.0091 0.1408 0.9933 0.0715
54384 GOODS-N 0.8260 3DHST 189.191483 62.210633 0.5633 0.4438 0.6779 0.2616
54405 GOODS-N 0.8166 3DHST 189.166361 62.213902 0.9276 0.0611 1.3477 0.0413
54422 GOODS-N 1.0641 3DHST 189.200336 62.210914 1.7197 1.6419 3.6912 1.9295
54598 GOODS-N 0.6631 3DHST 189.224556 62.215020 1.1591 0.0746 1.3247 0.0418
55063 GOODS-N 1.0749 3DHST 189.177024 62.212531 1.2289 0.8020 1.5974 0.5974
55348 GOODS-N 0.7458 3DHST 189.243090 62.212656 1.0952 0.3917 1.3827 0.2617
55392 GOODS-N 1.1578 3DHST 189.176715 62.214535 1.2407 0.2267 1.1660 0.1066
55542 GOODS-N 0.7712 3DHST 189.116339 62.213908 1.0976 1.1534 0.6519 0.3436
55580 GOODS-N 1.2083 3DHST 189.151452 62.213392 1.4067 0.4701 1.2461 0.2145
55626 GOODS-N 0.7702 3DHST 189.132074 62.213682 1.3638 0.2329 1.2376 0.1001
55820 GOODS-N 1.2349 3DHST 189.235808 62.214656 0.9220 0.3585 1.1613 0.2309
55828 GOODS-N 0.6902 3DHST 189.230206 62.214598 1.0641 0.2968 1.1065 0.1641
55842 GOODS-N 0.6139 3DHST 189.149624 62.213512 1.4862 3.6569 2.7640 2.6614
55923 GOODS-N 1.1659 3DHST 189.113842 62.216061 1.0859 0.1061 1.1115 0.0530
55935 GOODS-N 1.1318 3DHST 189.236342 62.214606 1.3768 0.2837 1.7586 0.2044
56047 GOODS-N 0.8943 3DHST 189.217694 62.213729 1.2230 1.1738 1.2846 0.4819
56190 GOODS-N 0.6509 3DHST 189.198106 62.214635 1.2720 0.2832 1.6820 0.1955
56432 GOODS-N 0.9044 3DHST 189.142324 62.218281 0.9697 0.2594 1.4376 0.1574
56666 GOODS-N 1.0198 3DHST 189.123719 62.214917 1.3168 0.5465 1.2481 0.2915
56832 GOODS-N 0.9097 3DHST 189.193890 62.215352 1.1159 0.3187 0.9876 0.1532
57292 GOODS-N 0.6083 3DHST 189.220704 62.215771 0.5853 0.4795 0.8212 0.3327
57425 GOODS-N 0.8726 3DHST 189.150471 62.216438 1.2590 0.3426 1.2426 0.1830
57532 GOODS-N 1.1693 3DHST 189.116486 62.216499 2.2122 3.0232 0.9478 1.1292
57792 GOODS-N 0.9315 3DHST 189.231038 62.219798 1.4644 0.1204 1.5465 0.0661
58084 GOODS-N 0.9918 3DHST 189.229795 62.217689 1.3965 0.1613 1.6895 0.1114
58124 GOODS-N 1.1744 3DHST 189.173459 62.217493 0.8392 0.5939 1.0577 0.3973
58703 GOODS-N 0.9111 3DHST 189.139962 62.222202 1.1294 0.0695 1.1721 0.0376
59024 GOODS-N 0.8294 3DHST 189.143125 62.220131 1.1231 0.1187 1.4009 0.0769
59128 GOODS-N 0.7052 3DHST 189.130636 62.219126 1.2814 0.8671 1.2914 0.4006
59375 GOODS-N 1.0089 3DHST 189.171367 62.220700 1.1631 0.1091 1.3347 0.0631
59830 GOODS-N 0.8710 3DHST 189.144946 62.220324 1.0997 1.1483 1.0191 0.6923
59873 GOODS-N 1.0697 3DHST 189.175126 62.220056 1.4676 0.4894 3.1674 0.5296
60092 GOODS-N 0.7089 3DHST 189.151200 62.222202 1.0976 0.1037 1.2359 0.0511
60256 GOODS-N 0.9767 3DHST 189.136848 62.221285 1.0248 0.3879 1.2997 0.2655
60455 GOODS-N 0.8909 3DHST 189.179615 62.221657 0.8720 0.5942 1.1203 0.4118
60776 GOODS-N 0.9278 3DHST 189.229246 62.221888 1.1198 0.6428 1.2646 0.3547
61113 GOODS-N 1.2174 3DHST 189.204020 62.222756 1.1742 0.4656 1.0539 0.2134
61291 GOODS-N 0.9906 3DHST 189.162352 62.224831 1.3644 0.1242 1.6968 0.0782
61746 GOODS-N 0.9505 3DHST 189.202411 62.224541 1.2982 0.1742 1.2528 0.0917
61863 GOODS-N 0.6486 3DHST 189.222553 62.223640 0.8125 0.2616 0.7502 0.1121
62107 GOODS-N 0.9963 3DHST 189.160379 62.227500 1.3037 0.1552 1.6336 0.0939
62118 GOODS-N 0.6437 3DHST 189.152115 62.228026 0.9533 0.0681 1.2162 0.0452
62216 GOODS-N 1.1988 3DHST 189.233853 62.224929 1.3692 0.3818 1.3102 0.1957
62255 GOODS-N 0.7899 3DHST 189.153402 62.224845 1.0986 0.0000 1.5014 0.2821
62376 GOODS-N 0.9288 3DHST 189.180433 62.225739 1.1705 0.1617 1.1667 0.0860
62388 GOODS-N 0.9350 3DHST 189.197674 62.225022 1.0190 0.1816 1.3904 0.1312
62448 GOODS-N 1.2138 3DHST 189.235522 62.224302 0.6905 0.7976 1.1772 0.6719
62511 GOODS-N 1.2001 3DHST 189.230795 62.224962 1.3768 0.6853 1.1683 0.2870
62543 GOODS-N 0.9694 3DHST 189.179443 62.225736 1.0789 0.3083 0.8950 0.1533
62562 GOODS-N 0.7150 3DHST 189.160596 62.225268 0.8212 0.1837 0.9446 0.1146
62719 GOODS-N 0.9726 3DHST 189.216541 62.225615 1.1640 0.1269 1.3863 0.0738
