# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
22695 GOODS-S 0.9040 CANDELS 53.138161 -27.901785 0.7801 0.2999 1.3668 0.2436
22708 GOODS-S 0.6750 CANDELS 53.142595 -27.899975 0.9269 0.0768 1.1714 0.0500
22784 GOODS-S 0.6940 CANDELS 53.179390 -27.901761 1.2119 0.4202 1.2687 0.1928
22917 GOODS-S 0.6410 CANDELS 53.170918 -27.900476 1.4336 0.2577 2.0129 0.1695
23034 GOODS-S 1.1060 CANDELS 53.148027 -27.901426 1.0502 0.8325 1.2363 0.4795
23059 GOODS-S 0.6150 CANDELS 53.188583 -27.901278 2.0238 2.2502 1.4783 0.9907
23093 GOODS-S 1.0170 CANDELS 53.153804 -27.901169 0.7326 0.7359 0.7153 0.4089
23136 GOODS-S 0.8270 CANDELS 53.142997 -27.901091 0.9619 0.9609 2.4349 1.9911
23142 GOODS-S 0.6480 CANDELS 53.160673 -27.897112 1.3564 0.0802 1.5892 0.0460
23172 GOODS-S 0.6790 CANDELS 53.145209 -27.897243 1.4054 0.1121 1.8652 0.0705
23215 GOODS-S 1.0680 CANDELS 53.147745 -27.900513 1.1610 0.2712 1.4734 0.1689
23242 GOODS-S 0.8140 CANDELS 53.205972 -27.900376 0.9162 0.4494 1.0123 0.1953
23246 GOODS-S 1.1890 CANDELS 53.142288 -27.900512 1.6585 1.0612 1.2750 0.4296
23407 GOODS-S 0.6310 CANDELS 53.159475 -27.898455 1.1157 0.1208 1.5785 0.0781
23524 GOODS-S 0.7390 CANDELS 53.145464 -27.900231 0.5348 0.2693 1.0103 0.1751
23595 GOODS-S 0.9380 CANDELS 53.210659 -27.899203 1.2412 0.1854 1.3361 0.1011
23775 GOODS-S 0.9800 CANDELS 53.132941 -27.898279 1.2608 0.2634 1.3329 0.1468
23877 GOODS-S 1.2040 CANDELS 53.146220 -27.899528 2.1202 3.0019 2.8223 1.9669
23920 GOODS-S 0.7530 CANDELS 53.177618 -27.899389 0.7531 0.5337 0.8203 0.3050
23929 GOODS-S 1.1710 CANDELS 53.138154 -27.899026 1.2628 0.4672 1.5052 0.2973
23992 GOODS-S 0.6300 CANDELS 53.184706 -27.898883 0.9994 0.9841 2.4399 1.4530
24136 GOODS-S 0.9420 CANDELS 53.133885 -27.898901 1.1321 0.2968 1.3903 0.2006
24252 GOODS-S 0.9519 3DHST 53.133151 -27.898650 0.9318 0.5600 0.8249 0.2563
24360 GOODS-S 1.1650 CANDELS 53.179385 -27.898441 1.8657 2.1535 1.3791 0.8335
