# Galaxies with zgrism less than 0.5
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
109592    GOODS-N    0.841    0.82    0.49    0.82    658.94    1.34    -0.011       -0.191       -0.011      20.98
96475     GOODS-N    0.915    0.92    0.35    0.85    216.75    1.27    +0.003       -0.295       -0.034      22.66
119616    GOODS-N    1.010    0.94    0.39    1.00    82.46     1.32    -0.035       -0.308       -0.005      23.94
96423     GOODS-N    0.778    0.88    0.43    0.99    191.74    1.21    +0.057       -0.196       +0.119      22.69
121232    GOODS-N    0.855    0.71    0.49    0.77    122.17    1.24    -0.078       -0.197       -0.046      23.37
96167     GOODS-N    0.641    0.68    0.30    0.58    99.87     1.02    +0.024       -0.208       -0.037      23.33
123476    GOODS-N    0.634    0.63    0.30    0.61    611.24    1.23    -0.002       -0.204       -0.015      21.00
117153    GOODS-N    0.836    0.83    0.46    0.79    107.77    1.23    -0.003       -0.205       -0.025      23.05
101185    GOODS-N    0.772    0.95    0.43    0.70    114.65    1.08    +0.101       -0.193       -0.041      23.62
118148    GOODS-N    0.936    0.92    0.36    0.90    150.37    1.16    -0.009       -0.298       -0.019      23.27
117825    GOODS-N    0.634    0.58    0.39    0.59    490.62    1.27    -0.033       -0.149       -0.027      21.77
123811    GOODS-N    0.681    0.64    0.30    0.64    310.64    1.29    -0.025       -0.227       -0.025      22.06
122855    GOODS-N    1.082    1.04    0.37    1.00    172.91    1.17    -0.020       -0.342       -0.039      23.51
117715    GOODS-N    1.026    0.96    0.35    0.97    100.71    1.33    -0.033       -0.334       -0.028      24.26
113700    GOODS-N    1.085    1.01    0.34    1.07    85.51     1.30    -0.036       -0.357       -0.007      24.23
125963    GOODS-N    0.837    0.30    0.32    1.40    995.43    1.11    -0.292       -0.281       +0.306      20.50
104616    GOODS-N    1.031    1.28    0.39    1.30    183.81    1.10    +0.123       -0.315       +0.133      22.78
122267    GOODS-N    0.741    0.71    0.30    0.70    214.75    1.18    -0.018       -0.253       -0.024      22.77
121941    GOODS-S    1.029    0.44    0.30    0.30    63.83     0.92    -0.290       -0.359       -0.359      23.93
121733    GOODS-S    0.683    0.67    0.39    0.67    171.17    1.15    -0.008       -0.174       -0.008      23.38
127997    GOODS-S    1.059    0.51    0.42    0.41    20.38     1.49    -0.267       -0.310       -0.315      25.08
121138    GOODS-S    1.234    0.39    0.31    0.31    121.03    0.83    -0.378       -0.414       -0.414      23.59
117632    GOODS-S    0.607    0.56    0.34    0.55    885.11    1.21    -0.029       -0.166       -0.035      20.68
126094    GOODS-S    1.018    0.98    0.38    0.99    294.31    1.31    -0.019       -0.316       -0.014      21.90
119489    GOODS-S    0.605    0.30    0.34    0.78    1689.60    1.20    -0.190       -0.165       +0.109      19.88
117002    GOODS-S    1.044    0.96    0.32    0.96    38.16     1.02    -0.041       -0.354       -0.041      24.61
117070    GOODS-S    0.681    0.44    0.40    0.47    89.10     1.25    -0.143       -0.167       -0.126      23.42
132104    GOODS-S    0.818    0.81    0.32    0.79    188.17    1.25    -0.004       -0.274       -0.015      22.80
113678    GOODS-S    0.910    0.96    0.39    0.94    142.71    1.38    +0.026       -0.272       +0.016      23.44
124152    GOODS-S    0.846    0.92    0.31    0.78    120.18    1.17    +0.040       -0.290       -0.036      23.64
118100    GOODS-S    0.644    0.59    0.38    0.67    159.11    1.13    -0.033       -0.161       +0.016      23.16
122766    GOODS-S    0.605    0.51    0.32    0.55    128.00    1.18    -0.059       -0.178       -0.034      23.01
117138    GOODS-S    0.648    0.61    0.40    0.59    581.46    1.19    -0.023       -0.150       -0.035      21.18
107106    GOODS-S    1.223    1.17    0.34    1.16    69.79     0.97    -0.024       -0.397       -0.028      23.48
126365    GOODS-S    0.643    0.68    0.30    0.68    125.78    1.60    +0.023       -0.209       +0.023      23.34
