# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
107010   & GOODS-N   & 189.2552092   & 62.306395   & 0.942   & 0.93$\substack{+0.00 \\ -0.04}$   & 0.90$\substack{+0.00 \\ -0.00}$   & 0.90$\substack{+0.00 \\ -0.00}$   & 270.77   & 1.13   & 0.05   & 22.42 \\
45026    & GOODS-N   & 189.1799942   & 62.196666   & 1.007   & 1.02$\substack{+0.00 \\ -0.00}$   & 1.02$\substack{+0.00 \\ -0.00}$   & 1.02$\substack{+0.00 \\ -0.00}$   & 228.58   & 1.64   & 0.08   & 22.58 \\
118642   & GOODS-N   & 189.3352811   & 62.325305   & 0.836   & 0.83$\substack{+0.00 \\ -0.06}$   & 0.37$\substack{+0.00 \\ -0.01}$   & 0.74$\substack{+0.04 \\ -0.01}$   & 212.96   & 1.23   & 0.06   & 22.48 \\
117225   & GOODS-S   & 53.1081977   & $-$27.720155   & 0.972   & 0.96$\substack{+0.02 \\ -0.00}$   & 0.98$\substack{+0.00 \\ -0.01}$   & 0.97$\substack{+0.01 \\ -0.00}$   & 55.39    & 1.76   & 0.29   & 24.78 \\
107208   & GOODS-S   & 53.0971826   & $-$27.742252   & 1.221   & 1.14$\substack{+0.05 \\ -0.01}$   & 1.30$\substack{+0.01 \\ -0.06}$   & 1.19$\substack{+0.05 \\ -0.02}$   & 60.75    & 1.33   & 0.25   & 24.45 \\
17022    & GOODS-S   & 53.1918766   & $-$27.912430   & 0.733   & 0.69$\substack{+0.00 \\ -0.00}$   & 1.04$\substack{+0.00 \\ -0.00}$   & 0.64$\substack{+0.02 \\ -0.00}$   & 454.47   & 1.31   & 0.05   & 21.96 \\
121439   & GOODS-N   & 189.3093396   & 62.332923   & 0.888   & 0.91$\substack{+0.02 \\ -0.03}$   & 1.27$\substack{+0.05 \\ -0.17}$   & 0.93$\substack{+0.00 \\ -0.00}$   & 974.50   & 1.26   & 0.04   & 22.64 \\
126365   & GOODS-S   & 53.0748433   & $-$27.701080   & 0.643   & 0.67$\substack{+0.01 \\ -0.01}$   & 0.73$\substack{+0.01 \\ -0.25}$   & 0.66$\substack{+0.01 \\ -0.01}$   & 125.78   & 1.60   & 0.16   & 23.34 \\
23595    & GOODS-S   & 53.2106591   & $-$27.899203   & 0.976   & 0.96$\substack{+0.01 \\ -0.02}$   & 0.93$\substack{+0.00 \\ -0.01}$   & 0.93$\substack{+0.01 \\ -0.01}$   & 94.61    & 1.30   & 0.10   & 23.71 \\
98698    & GOODS-S   & 53.1119356   & $-$27.757828   & 0.831   & 0.99$\substack{+0.04 \\ -0.06}$   & 1.04$\substack{+0.00 \\ -0.00}$   & 1.01$\substack{+0.03 \\ -0.05}$   & 291.56   & 1.37   & 0.06   & 22.33 \\
97568    & GOODS-S   & 53.1252542   & $-$27.756535   & 0.955   & 1.37$\substack{+0.03 \\ -0.10}$   & 1.05$\substack{+0.00 \\ -0.01}$   & 1.36$\substack{+0.00 \\ -0.07}$   & 371.51   & 1.26   & 0.05   & 21.93 \\
88858    & GOODS-N   & 189.1765570   & 62.272816   & 0.854   & 0.94$\substack{+0.01 \\ -0.01}$   & 0.38$\substack{+0.01 \\ -0.00}$   & 0.92$\substack{+0.03 \\ -0.02}$   & 133.03   & 1.39   & 0.09   & 23.28 \\
109170   & GOODS-N   & 189.2956885   & 62.309360   & 0.631   & 0.69$\substack{+0.01 \\ -0.01}$   & 0.64$\substack{+0.01 \\ -0.01}$   & 0.66$\substack{+0.00 \\ -0.00}$   & 308.04   & 1.80   & 0.10   & 22.79 \\
50214    & GOODS-N   & 189.1413327   & 62.204732   & 1.016   & 1.01$\substack{+0.01 \\ -0.07}$   & 1.26$\substack{+0.00 \\ -0.00}$   & 1.08$\substack{+0.00 \\ -0.01}$   & 476.25   & 1.53   & 0.09   & 22.80 \\
91474    & GOODS-N   & 189.2850939   & 62.277525   & 1.222   & 1.13$\substack{+0.01 \\ -0.00}$   & 1.15$\substack{+0.00 \\ -0.00}$   & 1.15$\substack{+0.01 \\ -0.00}$   & 98.78    & 1.32   & 0.19   & 23.59 \\
40991    & GOODS-N   & 189.1849611   & 62.192549   & 1.013   & 1.01$\substack{+0.00 \\ -0.00}$   & 1.02$\substack{+0.00 \\ -0.01}$   & 1.01$\substack{+0.00 \\ -0.00}$   & 496.61   & 1.79   & 0.06   & 21.48 \\
94097    & GOODS-N   & 189.2203911   & 62.281966   & 0.761   & 0.80$\substack{+0.04 \\ -0.05}$   & 0.78$\substack{+0.00 \\ -0.07}$   & 0.77$\substack{+0.00 \\ -0.01}$   & 101.45   & 1.16   & 0.09   & 23.79 \\
108922   & GOODS-S   & 53.1382054   & $-$27.737523   & 0.665   & 0.70$\substack{+0.00 \\ -0.00}$   & 0.65$\substack{+0.27 \\ -0.00}$   & 0.69$\substack{+0.01 \\ -0.04}$   & 131.91   & 1.58   & 0.14   & 23.55 \\
117825   & GOODS-N   & 189.3957805   & 62.323567   & 0.634   & 0.58$\substack{+0.00 \\ -0.00}$   & 0.70$\substack{+0.00 \\ -0.01}$   & 0.61$\substack{+0.00 \\ -0.02}$   & 490.62   & 1.27   & 0.04   & 21.77 \\
117180   & GOODS-S   & 53.1507119   & $-$27.716204   & 0.967   & 0.98$\substack{+0.00 \\ -0.00}$   & 1.40$\substack{+0.00 \\ -0.00}$   & 0.68$\substack{+0.00 \\ -0.00}$   & 214.00   & 1.92   & 0.08   & 21.49 \\
