# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
96240 GOODS-N 189.1536365 62.286242 -99.0000 -99.0 - 32.43 25.84
35205 GOODS-N 189.1539283 62.178893 -99.0000 -99.0 - 51.36 24.46
33414 GOODS-N 189.1540648 62.175396 -99.0000 -99.0 - 89.50 23.43
47355 GOODS-N 189.1542324 62.199884 -99.0000 -99.0 - 361.90 21.56
41759 GOODS-N 189.1544327 62.187921 -99.0000 -99.0 - 18.04 25.92
88020 GOODS-N 189.1544383 62.270859 0.8518 Barger_ACS Z 128.18 23.38
40538 GOODS-N 189.1544698 62.186614 -99.0000 -99.0 - 90.76 23.58
84798 GOODS-N 189.1544967 62.264356 -99.0000 -99.0 - 48.27 25.05
95506 GOODS-N 189.1546335 62.284906 -99.0000 -99.0 - 61.77 24.88
59716 GOODS-N 189.1547922 62.221113 -99.0000 -99.0 - 37.04 24.56
64578 GOODS-N 189.1552911 62.228428 -99.0000 -99.0 - 64.69 25.58
52680 GOODS-N 189.1556067 62.214564 0.4843 Wirth_2004 3 737.72 21.11
52017 GOODS-N 189.1558002 62.208237 -99.0000 -99.0 - 198.27 23.32
48028 GOODS-N 189.1558812 62.199866 2.1030 Wirth_2015 1 44.62 24.62
93976 GOODS-N 189.1558842 62.281643 -99.0000 -99.0 - 61.91 24.28
84909 GOODS-N 189.1562318 62.264711 -99.0000 -99.0 - 44.24 25.21
96885 GOODS-N 189.1562493 62.286831 -99.0000 -99.0 - 35.48 25.98
64683 GOODS-N 189.1564334 62.229479 -99.0000 -99.0 - 66.16 24.26
85050 GOODS-N 189.1565166 62.264719 -99.0000 -99.0 - 28.99 25.53
75980 GOODS-N 189.1565473 62.249034 -99.0000 -99.0 - 69.55 24.17
38612 GOODS-N 189.1566020 62.184957 -99.0000 -99.0 - 71.01 23.39
40731 GOODS-N 189.1566511 62.186827 -99.0000 -99.0 - 52.25 24.53
74900 GOODS-N 189.1567516 62.248200 -99.0000 -99.0 - 348.89 22.95
53401 GOODS-N 189.1568365 62.211383 0.4588 Barger_UV Z 944.28 21.07
48569 GOODS-N 189.1569472 62.200234 -99.0000 -99.0 - 34.05 25.70
86203 GOODS-N 189.1572727 62.268766 0.8411 Barger_ACS Z 271.28 22.32
64321 GOODS-N 189.1573261 62.227824 -99.0000 -99.0 - 60.66 25.64
59044 GOODS-N 189.1573264 62.218821 -99.0000 -99.0 - 80.86 24.51
53478 GOODS-N 189.1573459 62.209771 -99.0000 -99.0 - 87.40 23.76
79351 GOODS-N 189.1574350 62.256407 1.2210 Barger_UV Z 96.38 23.82
79139 GOODS-N 189.1576911 62.255014 -99.0000 -99.0 - 27.66 25.30
59809 GOODS-N 189.1576968 62.219881 -99.0000 -99.0 - 23.53 26.00
82737 GOODS-N 189.1578392 62.261142 -99.0000 -99.0 - 199.63 23.43
27963 GOODS-N 189.1578885 62.166434 -99.0000 -99.0 - 37.43 24.44
94908 GOODS-N 189.1579067 62.283983 -99.0000 -99.0 - 56.41 25.23
77487 GOODS-N 189.1580973 62.252578 -99.0000 -99.0 - 54.21 24.59
80011 GOODS-N 189.1582074 62.256492 -99.0000 -99.0 - 63.29 24.51
85903 GOODS-N 189.1583367 62.270899 -99.0000 -99.0 - 665.04 21.35
61967 GOODS-N 189.1583429 62.224078 -99.0000 -99.0 - 51.23 24.80
73608 GOODS-N 189.1584572 62.244720 -99.0000 -99.0 - 52.22 24.67
95263 GOODS-N 189.1587009 62.284471 -99.0000 -99.0 - 56.68 25.01
85297 GOODS-N 189.1589280 62.265820 -99.0000 -99.0 - 133.50 23.58
31454 GOODS-N 189.1591079 62.171538 -99.0000 -99.0 - 49.59 24.57
