# Full paper table 3. Paste part of this into tex file to create shortened table.
# ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000   iABmag
76405     GOODS-N    189.1780463    62.250802    0.697    0.92$\substack{+0.03 \\ -0.03}$    0.44$\substack{+0.47 \\ -0.47}$    0.90$\substack{+0.09 \\ -0.09}$    119.74    1.22    23.11
89993     GOODS-N    189.1793699    62.275523    0.870    0.88$\substack{+0.06 \\ -0.06}$    0.41$\substack{+0.16 \\ -0.16}$    0.81$\substack{+0.08 \\ -0.08}$    248.84    1.25    22.37
53471     GOODS-N    189.1798216    62.211731    0.846    0.85$\substack{+0.01 \\ -0.01}$    0.84$\substack{+0.04 \\ -0.04}$    0.84$\substack{+0.02 \\ -0.02}$    485.24    1.72    21.81
87585     GOODS-N    189.1798913    62.273634    0.851    0.85$\substack{+0.01 \\ -0.01}$    0.85$\substack{+0.05 \\ -0.05}$    0.85$\substack{+0.02 \\ -0.02}$    564.01    1.71    21.21
45026     GOODS-N    189.1799942    62.196666    1.007    1.02$\substack{+0.02 \\ -0.02}$    1.02$\substack{+0.11 \\ -0.11}$    1.02$\substack{+0.03 \\ -0.03}$    228.58    1.64    22.58
62376     GOODS-N    189.1804328    62.225739    0.904    0.83$\substack{+0.07 \\ -0.07}$    0.34$\substack{+0.54 \\ -0.54}$    0.89$\substack{+0.10 \\ -0.10}$    116.69    1.35    23.41
92378     GOODS-N    189.1805813    62.281280    0.944    1.00$\substack{+0.02 \\ -0.03}$    1.04$\substack{+0.41 \\ -0.41}$    1.01$\substack{+0.04 \\ -0.04}$    288.62    1.39    22.06
79928     GOODS-N    189.1813500    62.258988    0.847    0.83$\substack{+0.03 \\ -0.03}$    0.73$\substack{+0.28 \\ -0.28}$    0.76$\substack{+0.06 \\ -0.06}$    213.68    1.20    22.64
76917     GOODS-N    189.1814877    62.251585    0.848    0.83$\substack{+0.04 \\ -0.04}$    0.78$\substack{+0.32 \\ -0.33}$    0.82$\substack{+0.08 \\ -0.08}$    150.28    1.28    23.02
50422     GOODS-N    189.1817895    62.205071    0.751    0.73$\substack{+0.03 \\ -0.03}$    0.71$\substack{+0.17 \\ -0.17}$    0.74$\substack{+0.04 \\ -0.04}$    230.07    1.22    22.69
43618     GOODS-N    189.1825663    62.195238    0.768    0.73$\substack{+0.01 \\ -0.01}$    0.77$\substack{+0.05 \\ -0.05}$    0.73$\substack{+0.06 \\ -0.06}$    795.94    1.60    20.90
39842     GOODS-N    189.1831814    62.185293    0.845    0.95$\substack{+0.02 \\ -0.02}$    0.51$\substack{+0.18 \\ -0.18}$    0.83$\substack{+0.05 \\ -0.05}$    200.38    1.10    22.93
54327     GOODS-N    189.1841386    62.211217    0.874    0.83$\substack{+0.07 \\ -0.07}$    0.60$\substack{+0.27 \\ -0.27}$    0.81$\substack{+0.11 \\ -0.11}$    112.75    1.10    23.34
40991     GOODS-N    189.1849611    62.192549    1.013    1.01$\substack{+0.01 \\ -0.01}$    1.02$\substack{+0.04 \\ -0.04}$    1.01$\substack{+0.01 \\ -0.01}$    496.61    1.79    21.48
36842     GOODS-N    189.1851440    62.181358    0.937    0.83$\substack{+0.10 \\ -0.10}$    0.34$\substack{+0.50 \\ -0.50}$    0.90$\substack{+0.07 \\ -0.07}$    155.64    1.31    23.26
75659     GOODS-N    189.1866640    62.248714    0.845    0.85$\substack{+0.05 \\ -0.05}$    0.30$\substack{+0.37 \\ -0.37}$    0.83$\substack{+0.05 \\ -0.05}$    199.17    1.25    22.82
87433     GOODS-N    189.1871437    62.271319    0.747    0.69$\substack{+0.03 \\ -0.03}$    0.67$\substack{+0.28 \\ -0.28}$    0.68$\substack{+0.06 \\ -0.06}$    293.13    1.27    22.17
46766     GOODS-N    189.1889185    62.198477    0.968    0.98$\substack{+0.02 \\ -0.02}$    1.01$\substack{+0.19 \\ -0.19}$    1.00$\substack{+0.03 \\ -0.03}$    156.58    1.75    23.32
79903     GOODS-N    189.1893278    62.256443    0.682    0.71$\substack{+0.03 \\ -0.03}$    0.40$\substack{+0.31 \\ -0.31}$    0.70$\substack{+0.05 \\ -0.05}$    283.14    1.14    22.27
36105     GOODS-N    189.1914885    62.183611    0.931    0.98$\substack{+0.02 \\ -0.02}$    0.93$\substack{+0.07 \\ -0.07}$    0.94$\substack{+0.04 \\ -0.04}$    248.73    1.82    22.40
48229     GOODS-N    189.1915296    62.200388    0.679    0.56$\substack{+0.06 \\ -0.06}$    0.42$\substack{+0.45 \\ -0.45}$    0.65$\substack{+0.18 \\ -0.18}$    93.88     1.19    23.67
53563     GOODS-N    189.1922296    62.212921    0.905    0.89$\substack{+0.02 \\ -0.02}$    0.90$\substack{+0.08 \\ -0.08}$    0.89$\substack{+0.03 \\ -0.03}$    297.44    1.63    22.44
74794     GOODS-N    189.1923008    62.247729    0.679    0.58$\substack{+0.06 \\ -0.06}$    0.51$\substack{+0.51 \\ -0.52}$    0.58$\substack{+0.11 \\ -0.11}$    123.09    1.23    23.41
77715     GOODS-N    189.1926147    62.257590    0.851    0.90$\substack{+0.10 \\ -0.10}$    1.49$\substack{+0.97 \\ -0.97}$    0.90$\substack{+0.12 \\ -0.12}$    310.37    1.22    21.99
65404     GOODS-N    189.1931178    62.234639    0.961    1.20$\substack{+-100.20 \\ -100.20}$    1.12$\substack{+0.14 \\ -0.14}$    1.19$\substack{+0.01 \\ -0.01}$    647.93    1.44    21.48
80411     GOODS-N    189.1932733    62.258074    0.850    0.84$\substack{+0.01 \\ -0.01}$    0.85$\substack{+0.08 \\ -0.08}$    0.84$\substack{+0.03 \\ -0.03}$    268.81    1.69    22.67
36418     GOODS-N    189.1941824    62.180293    0.940    0.93$\substack{+0.12 \\ -0.12}$    0.87$\substack{+0.17 \\ -0.18}$    0.94$\substack{+0.16 \\ -0.16}$    148.40    1.40    23.11
82141     GOODS-N    189.1952610    62.261281    0.917    0.90$\substack{+0.03 \\ -0.03}$    0.94$\substack{+0.33 \\ -0.33}$    0.88$\substack{+0.03 \\ -0.03}$    302.61    1.36    22.12
68612     GOODS-N    189.1965577    62.237297    0.610    0.73$\substack{+0.03 \\ -0.03}$    0.63$\substack{+0.29 \\ -0.29}$    0.68$\substack{+0.09 \\ -0.09}$    124.64    1.39    23.62
83499     GOODS-N    189.1973120    62.274485    0.871    0.87$\substack{+0.01 \\ -0.01}$    0.87$\substack{+0.07 \\ -0.07}$    0.87$\substack{+0.02 \\ -0.02}$    603.06    1.54    21.28
