| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
  1.74926e+06    0.0145912
  1.76307e+06    0.0142613
  1.77674e+06    0.0139390
  1.79076e+06    0.0136146
  1.80489e+06    0.0132962
  1.81888e+06    0.0129926
  1.83324e+06    0.0126904
  1.84745e+06    0.0123989
  1.86203e+06    0.0120951
  1.87646e+06    0.0117886
  1.89127e+06    0.0114823
  1.90593e+06    0.0112010
  1.92098e+06    0.0109230
  1.93614e+06    0.0106502
  1.95114e+06    0.0103847
  1.96654e+06    0.0101190
  1.98179e+06   0.00986283
  1.99743e+06   0.00960499
  2.01291e+06   0.00935628
  2.02880e+06   0.00910775
  2.04452e+06   0.00886701
  2.06066e+06   0.00862643
  2.07692e+06   0.00839045
  2.09302e+06   0.00816852
  2.10954e+06   0.00794679
  2.12589e+06   0.00773308
  2.14267e+06   0.00751906
  2.15928e+06   0.00731282
  2.17632e+06   0.00710811
  2.19319e+06   0.00692254
  2.21050e+06   0.00673713
  2.22795e+06   0.00655522
  2.24522e+06   0.00636569
  2.26294e+06   0.00617399
  2.28048e+06   0.00599178
  2.29848e+06   0.00582031
  2.31629e+06   0.00565511
  2.33458e+06   0.00549010
  2.35267e+06   0.00532517
  2.37124e+06   0.00516012
  2.38995e+06   0.00500286
  2.40848e+06   0.00486208
  2.42749e+06   0.00472147
  2.44630e+06   0.00458567
  2.46561e+06   0.00444124
  2.48472e+06   0.00430213
  2.50433e+06   0.00416519
  2.52375e+06   0.00403635
  2.54367e+06   0.00390771
  2.56374e+06   0.00378477
  2.58361e+06   0.00367040
  2.60400e+06   0.00355618
  2.62419e+06   0.00344675
  2.64490e+06   0.00333809
  2.66540e+06   0.00323345
  2.68644e+06   0.00312970
  2.70726e+06   0.00303043
  2.72863e+06   0.00293132
  2.75016e+06   0.00283505
  2.77148e+06   0.00274298
  2.79336e+06   0.00265108
  2.81501e+06   0.00256594
  2.83723e+06   0.00248299
  2.85922e+06   0.00240311
  2.88178e+06   0.00232421
  2.90412e+06   0.00224864
  2.92704e+06   0.00217320
  2.95014e+06   0.00210023
  2.97301e+06   0.00203035
  2.99648e+06   0.00196059
  3.01970e+06   0.00189558
  3.04354e+06   0.00183133
  3.06713e+06   0.00176948
  3.09133e+06   0.00170878
  3.11530e+06   0.00165059
  3.13988e+06   0.00159250
  3.16467e+06   0.00153772
  3.18920e+06   0.00148531
  3.21437e+06   0.00143300
  3.23928e+06   0.00138464
  3.26485e+06   0.00133657
  3.29015e+06   0.00129030
  3.31612e+06   0.00124514
