# z  dl_mpc  dl_cm
2.050  1.642096e+04  5.067507e+28
2.055  1.646975e+04  5.082563e+28
2.060  1.651856e+04  5.097627e+28
2.065  1.656739e+04  5.112697e+28
2.070  1.661625e+04  5.127773e+28
2.075  1.666512e+04  5.142857e+28
2.080  1.671402e+04  5.157947e+28
2.085  1.676294e+04  5.173043e+28
2.090  1.681188e+04  5.188146e+28
2.095  1.686084e+04  5.203256e+28
2.100  1.690982e+04  5.218372e+28
2.105  1.695883e+04  5.233494e+28
2.110  1.700785e+04  5.248623e+28
2.115  1.705690e+04  5.263759e+28
2.120  1.710597e+04  5.278901e+28
2.125  1.715505e+04  5.294049e+28
2.130  1.720416e+04  5.309204e+28
2.135  1.725329e+04  5.324366e+28
2.140  1.730244e+04  5.339533e+28
2.145  1.735161e+04  5.354707e+28
2.150  1.740080e+04  5.369887e+28
2.155  1.745001e+04  5.385074e+28
2.160  1.749924e+04  5.400267e+28
2.165  1.754850e+04  5.415466e+28
2.170  1.759777e+04  5.430671e+28
2.175  1.764706e+04  5.445883e+28
2.180  1.769637e+04  5.461101e+28
2.185  1.774571e+04  5.476325e+28
2.190  1.779506e+04  5.491555e+28
2.195  1.784443e+04  5.506792e+28
2.200  1.789382e+04  5.522034e+28
2.205  1.794324e+04  5.537283e+28
2.210  1.799267e+04  5.552538e+28
2.215  1.804212e+04  5.567799e+28
2.220  1.809159e+04  5.583065e+28
2.225  1.814108e+04  5.598338e+28
2.230  1.819059e+04  5.613618e+28
2.235  1.824013e+04  5.628903e+28
2.240  1.828968e+04  5.644194e+28
2.245  1.833924e+04  5.659491e+28
2.250  1.838883e+04  5.674794e+28
2.255  1.843844e+04  5.690103e+28
2.260  1.848807e+04  5.705418e+28
2.265  1.853771e+04  5.720739e+28
2.270  1.858738e+04  5.736066e+28
2.275  1.863707e+04  5.751398e+28
2.280  1.868677e+04  5.766737e+28
2.285  1.873649e+04  5.782081e+28
2.290  1.878623e+04  5.797431e+28
2.295  1.883599e+04  5.812788e+28
2.300  1.888577e+04  5.828149e+28
2.305  1.893557e+04  5.843517e+28
2.310  1.898539e+04  5.858891e+28
2.315  1.903522e+04  5.874270e+28
2.320  1.908508e+04  5.889655e+28
2.325  1.913495e+04  5.905045e+28
2.330  1.918484e+04  5.920442e+28
2.335  1.923475e+04  5.935844e+28
2.340  1.928468e+04  5.951252e+28
2.345  1.933462e+04  5.966665e+28
2.350  1.938459e+04  5.982084e+28
2.355  1.943457e+04  5.997509e+28
2.360  1.948457e+04  6.012939e+28
2.365  1.953459e+04  6.028375e+28
2.370  1.958463e+04  6.043817e+28
2.375  1.963469e+04  6.059264e+28
2.380  1.968476e+04  6.074717e+28
2.385  1.973485e+04  6.090175e+28
2.390  1.978496e+04  6.105639e+28
2.395  1.983509e+04  6.121108e+28
2.400  1.988523e+04  6.136583e+28
2.405  1.993540e+04  6.152063e+28
2.410  1.998558e+04  6.167549e+28
2.415  2.003577e+04  6.183040e+28
2.420  2.008599e+04  6.198537e+28
2.425  2.013622e+04  6.214039e+28
2.430  2.018648e+04  6.229546e+28
2.435  2.023674e+04  6.245059e+28
2.440  2.028703e+04  6.260577e+28
2.445  2.033733e+04  6.276101e+28
2.450  2.038765e+04  6.291630e+28
2.455  2.043799e+04  6.307164e+28
2.460  2.048835e+04  6.322704e+28
2.465  2.053872e+04  6.338249e+28
2.470  2.058911e+04  6.353799e+28
